disease,state,baseline_n_years,baseline_mean_rate,baseline_sd_rate,baseline_cv_rate,baseline_median_rate,baseline_min_rate,baseline_max_rate,pi_lower_rate,pi_upper_rate
Barmah Forest virus infection,ACT,5,0.148,0.2255437873229941,1.5239445089391495,0,0,0.51,0,0.8339786244770019
Barmah Forest virus infection,NSW,5,1.25,0.6986415389883427,0.5589132311906742,0.93,0.54,2,0,3.3748785772644485
Barmah Forest virus infection,NT,5,5.4,3.7815340802378077,0.7002840889329273,5,2,11,0,16.901321218214612
Barmah Forest virus infection,QLD,5,5,1.8708286933869707,0.3741657386773941,5,3,8,0,10.690019259470262
Barmah Forest virus infection,SA,5,0.208,0.10986355173577814,0.5281901525758564,0.28,0.06,0.29,0,0.5421437553850267
Barmah Forest virus infection,TAS,5,0.476,0.8572222582271182,1.8008870971157946,0.19,0,2,0,3.0831928318185065
Barmah Forest virus infection,VIC,5,0.14,0.08124038404635961,0.5802884574739972,0.09,0.08,0.27,0,0.3870880158640644
Barmah Forest virus infection,WA,5,1.208,0.749112808594273,0.6201264971806896,1,0.51,2,0,3.4863840783949342
Brucellosis,ACT,5,0,0,NA,0,0,0,0,0
Brucellosis,NSW,5,0.096,0.03646916505762094,0.3798871360168848,0.1,0.04,0.14,0,0.20691889508011768
Brucellosis,NT,5,0.08199999999999999,0.18335757415498274,2.23606797749979,0,0,0.41,0,0.6396716521397695
Brucellosis,QLD,5,0.192,0.0668580586017871,0.3482190552176412,0.17,0.12,0.3,0,0.39534498954377084
Brucellosis,SA,5,0.012,0.026832815729997475,2.2360679774997894,0,0,0.06,0,0.09361048567899068
Brucellosis,TAS,5,0,0,NA,0,0,0,0,0
Brucellosis,VIC,5,0.014,0.021908902300206645,1.5649215928719031,0,0,0.05,0,0.08063468252474704
Brucellosis,WA,5,0.024,0.03577708763999664,1.4907119849998598,0,0,0.08,0,0.1328139809053209
Campylobacteriosis,ACT,5,135.8,16.31563667161046,0.12014459993822134,143,114,154,86.17691734142113,185.4230826585789
Campylobacteriosis,NSW,5,70.6,69.2733715073837,0.9812092281499109,78,0,148,0,281.29102662299204
Campylobacteriosis,NT,5,160.6,15.868207208125309,0.09880577340053119,159,140,180,112.33774865295925,208.86225134704074
Campylobacteriosis,QLD,5,161.6,11.970797801316335,0.07407671906755159,158,149,180,125.19149809841772,198.00850190158226
Campylobacteriosis,SA,5,167.4,34.01911227530783,0.2032205034367254,180,107,187,63.93280136187009,270.86719863812993
Campylobacteriosis,TAS,5,165,38.01315561749642,0.23038276131816013,166,117,204,49.38514528809654,280.6148547119035
Campylobacteriosis,VIC,5,118.8,15.912259424732868,0.13394157764926656,110,104,138,70.40376633709815,167.19623366290185
Campylobacteriosis,WA,5,128.4,8.080841540334768,0.06293490296210878,132,114,133,103.82257922397525,152.97742077602476
Chikungunya virus infection,ACT,5,0.096,0.1316434578701122,1.3712860194803353,0,0,0.25,0,0.49638610339469635
Chikungunya virus infection,NSW,5,0.436,0.15241391012633984,0.34957318836316476,0.47,0.19,0.6,0,0.8995582547432415
Chikungunya virus infection,NT,5,0.764,1.2666609648994478,1.6579332001301672,0.41,0,3,0,4.616477413337517
Chikungunya virus infection,QLD,5,0.168,0.11882760622010358,0.7073071798815689,0.14,0.04,0.36,0,0.5294074181880657
Chikungunya virus infection,SA,5,0.186,0.13974977638622538,0.7513428837969106,0.12,0.06,0.41,0,0.6110410109461617
Chikungunya virus infection,TAS,5,0.266,0.31949960876345374,1.2011263487347885,0.18,0,0.76,0,1.237739921289111
Chikungunya virus infection,VIC,5,0.51,0.177341478509682,0.34772838923467053,0.48,0.25,0.7,0,1.0493740387828763
Chikungunya virus infection,WA,5,0.38,0.17578395831246946,0.4625893639801828,0.43,0.11,0.59,0,0.9146369295272402
Chlamydial infection,ACT,5,351.2,23.004347415216976,0.06550212817544697,352,320,376,281.2335833490156,421.1664166509844
Chlamydial infection,NSW,5,359.2,43.80296793597439,0.12194590182620932,369,296,405,225.97575982308354,492.42424017691644
Chlamydial infection,NT,5,1126.4,67.35577183879641,0.059797382669386015,1119,1071,1239,921.5412439022488,1331.2587560977513
Chlamydial infection,QLD,5,471,16.38596960817394,0.03478974439102747,476,443,486,421.16300370783404,520.836996292166
Chlamydial infection,SA,5,340.4,21.61712284278368,0.06350506123026933,342,317,364,274.65274812997995,406.14725187002
Chlamydial infection,TAS,5,304.2,19.992498593222408,0.06572156013551088,301,280,326,243.39395055117564,365.00604944882434
Chlamydial infection,VIC,5,384,29.266021253323792,0.07621359701386404,400,339,409,294.9890578607703,473.0109421392297
Chlamydial infection,WA,5,444.4,10.4546640309481,0.023525346604293656,440,435,462,412.60273288641446,476.1972671135855
Cryptosporidiosis,ACT,5,9.6,6.6558245169174945,0.6933150538455723,7,3,20,0,29.84331240096141
Cryptosporidiosis,NSW,5,12.6,3.847076812334269,0.3053235565344658,14,8,16,0.8993342831332996,24.3006657168667
Cryptosporidiosis,NT,5,60,31.304951684997057,0.521749194749951,50,36,114,0,155.21223329215582
Cryptosporidiosis,QLD,5,27.6,13.126309458488324,0.4755909224089972,26,14,49,0,67.52292500568154
Cryptosporidiosis,SA,5,17.6,8.23407554009556,0.4678452011417932,20,7,25,0,42.6434732868327
Cryptosporidiosis,TAS,5,6,1.5811388300841898,0.26352313834736496,6,4,8,1.1910560133715054,10.808943986628496
Cryptosporidiosis,VIC,5,14,2.9154759474226504,0.20824828195876074,13,12,19,5.132745424529462,22.86725457547054
Cryptosporidiosis,WA,5,9.6,3.646916505762094,0.3798871360168848,10,5,15,0,20.691889508011766
Dengue virus infection,ACT,5,7.4,2.3021728866442674,0.3111044441411172,8,5,10,0.39807186518996485,14.401928134810035
Dengue virus infection,NSW,5,5,1,0.2,5,4,6,1.9585567724167294,8.04144322758327
Dengue virus infection,NT,5,19.6,11.674759098157015,0.595650974395766,14,11,39,0,55.108116992755825
Dengue virus infection,QLD,5,5.8,1.4832396974191326,0.25573098231364355,6,4,8,1.2888106674019193,10.31118933259808
Dengue virus infection,SA,5,4,1.8708286933869707,0.46770717334674267,4,2,7,0,9.690019259470262
Dengue virus infection,TAS,5,3.6,1.6733200530681511,0.4648111258522642,4,2,6,0,8.689307942983408
Dengue virus infection,VIC,5,5.6,2.073644135332772,0.37029359559513786,5,4,9,0,11.906870911825624
Dengue virus infection,WA,5,13.6,8.080841540334768,0.5941795250246154,12,5,22,0,38.177420776024746
Diphtheria,ACT,5,0,0,NA,0,0,0,0,0
Diphtheria,NSW,5,0.012,0.0216794833886788,1.8066236157232334,0,0,0.05,0,0.07793691793000114
Diphtheria,NT,5,0,0,NA,0,0,0,0,0
Diphtheria,QLD,5,0.10200000000000001,0.048166378315169185,0.47221939524675666,0.1,0.04,0.17,0,0.24849530512388504
Diphtheria,SA,5,0.012,0.026832815729997475,2.2360679774997894,0,0,0.06,0,0.09361048567899068
Diphtheria,TAS,5,0,0,NA,0,0,0,0,0
Diphtheria,VIC,5,0.014,0.021908902300206645,1.5649215928719031,0,0,0.05,0,0.08063468252474704
Diphtheria,WA,5,0.008,0.01788854381999832,2.23606797749979,0,0,0.04,0,0.06240699045266045
Flavivirus infection (unspecified),ACT,5,0.098,0.13423859355639867,1.3697815669020272,0,0,0.25,0,0.506279061252412
Flavivirus infection (unspecified),NSW,5,0.114,0.18875910574062382,1.6557816293037178,0.03,0.01,0.45,0,0.6881001037994947
Flavivirus infection (unspecified),NT,5,0.08199999999999999,0.18335757415498274,2.23606797749979,0,0,0.41,0,0.6396716521397695
Flavivirus infection (unspecified),QLD,5,0.282,0.3870658858644094,1.3725740633489696,0.1,0.06,0.97,0,1.459238917190827
Flavivirus infection (unspecified),SA,5,0.036,0.05366563145999495,1.4907119849998598,0,0,0.12,0,0.19922097135798136
Flavivirus infection (unspecified),TAS,5,0.038,0.084970583144992,2.23606797749979,0,0,0.19,0,0.2964332046501371
Flavivirus infection (unspecified),VIC,5,0.078,0.08642916174532761,1.1080661762221489,0.05,0.02,0.23,0,0.3408693886560258
Flavivirus infection (unspecified),WA,5,0.142,0.2526262060832169,1.779057789318429,0.04,0,0.59,0,0.9103482636018556
Gonococcal infection,ACT,5,59.8,17.469974241537965,0.2921400374839125,60,36,77,6.666065157020164,112.93393484297982
Gonococcal infection,NSW,5,111,30.306764921383476,0.2730339182106619,117,71,145,18.82369507989999,203.1763049201
Gonococcal infection,NT,5,717,112.80292549397821,0.157326255919077,720,547,862,373.91630620475974,1060.0836937952404
Gonococcal infection,QLD,5,93,20.91650066335189,0.22490860928335366,98,63,118,29.383650712707407,156.6163492872926
Gonococcal infection,SA,5,75.6,26.14000765110829,0.34576729697233194,74,47,118,0,155.1033492394382
Gonococcal infection,TAS,5,21.2,7.726577508832744,0.36446120324682757,22,11,29,0,44.69994683663656
Gonococcal infection,VIC,5,113.2,22.949945533704433,0.20273803475003915,116,81,141,43.39904358310973,183.0009564168903
Gonococcal infection,WA,5,126,21.02379604162864,0.16685552413990984,131,91,148,62.057317911096604,189.94268208890338
Haemolytic uraemic syndrome (HUS),ACT,5,0,0,NA,0,0,0,0,0
Haemolytic uraemic syndrome (HUS),NSW,5,0.064,0.0433589667773576,0.6774838558962125,0.05,0.03,0.14,0,0.1958738358600023
Haemolytic uraemic syndrome (HUS),NT,5,0.08,0.17888543819998318,2.23606797749979,0,0,0.4,0,0.6240699045266045
Haemolytic uraemic syndrome (HUS),QLD,5,0.064,0.016733200530681513,0.2614562582918986,0.06,0.04,0.08,0.013106920570165922,0.11489307942983408
Haemolytic uraemic syndrome (HUS),SA,5,0.036,0.05366563145999495,1.4907119849998598,0,0,0.12,0,0.19922097135798136
Haemolytic uraemic syndrome (HUS),TAS,5,0.114,0.1728583234906552,1.5163010832513613,0,0,0.39,0,0.6397387773120514
Haemolytic uraemic syndrome (HUS),VIC,5,0.072,0.04604345773288535,0.6394924685122966,0.06,0.03,0.15,0,0.21203856269620075
Haemolytic uraemic syndrome (HUS),WA,5,0.072,0.04381780460041329,0.6085806194501846,0.04,0.04,0.12,0,0.20526936504949406
Haemophilus influenzae type b,ACT,5,0,0,NA,0,0,0,0,0
