disease,transmission_mode,border_sensitive,vaccine_preventable,count_tier,baseline_mean_rate,baseline_mean_count,baseline_n,covid_mean_rate,covid_mean_count,covid_n,covid_oe_rate,covid_pct_change,transition_rate,transition_count,transition_oe_rate,transition_pct,post_mean_rate,post_mean_count,post_n,post_oe_rate,post_pct_change,wilcox_p_covid,wilcox_p_post,max_reduction_year,max_reduction_oe,max_excess_year,max_excess_oe,cumulative_deficit_total,cumulative_excess_total,cumulative_deficit_covid,cumulative_excess_covid,cumulative_deficit_post,cumulative_excess_post,net_cumulative,trajectory,covid_significant,post_significant,covid_direction
Barmah Forest virus infection,vector_borne,FALSE,FALSE,high,1.59,395.4,5,2.5,561.5,2,1.572327044025157,57.23270440251571,1,342,0.6289308176100629,-37.106918238993714,0.99,306.6666666666667,3,0.6226415094339622,-37.735849056603776,0.319604069273341,0.5252340496337509,2025,0.610062893081761,2020,1.8867924528301885,326.9999999999999,339.6,7.399999999999977,339.6,319.5999999999999,0,12.600000000000136,partial_recovery,FALSE,FALSE,increased
Brucellosis,zoonotic,FALSE,FALSE,low,0.076,18.8,5,0.065,17.5,2,0.855263157894737,-14.473684210526311,0.06,16,0.7894736842105263,-21.05263157894737,0.09,24,3,1.1842105263157894,18.421052631578945,0.4302226911321914,0.5485954657999336,2025,0.7894736842105263,2023,1.5789473684210529,8.400000000000002,18.599999999999998,2.8000000000000007,0.1999999999999993,5.600000000000001,18.4,10.199999999999996,returned,FALSE,FALSE,decreased
Campylobacteriosis,enteric,FALSE,FALSE,high,136.4,29120.4,5,142.5,36483,2,1.0447214076246334,4.472140762463338,162,42245,1.187683284457478,18.768328445747795,151.33333333333334,40361.666666666664,3,1.109481915933529,10.948191593352886,0.8464505968765906,0.051228003006160684,2020,0.9604105571847508,2022,1.187683284457478,0,61573.59999999999,0,14725.199999999997,0,46848.399999999994,61573.59999999999,returned,FALSE,FALSE,unchanged
Chikungunya virus infection,vector_borne,TRUE,FALSE,moderate,0.368,90.8,5,0.07,17.5,2,0.19021739130434784,-80.9782608695652,0.16,41,0.4347826086956522,-56.52173913043478,0.3466666666666667,92,3,0.9420289855072465,-5.797101449275358,0.0786428966689894,0.8800718068779698,2021,0.02717391304347826,2025,1.684782608695652,267,74.2,146.6,0,120.39999999999999,74.2,-192.8,returned,FALSE,FALSE,decreased
Chlamydial infection,STI,FALSE,FALSE,high,402.2,98914.8,5,348.5,89437.5,2,0.8664843361511686,-13.35156638488314,363,94377,0.9025360517155644,-9.746394828443558,384,102227.66666666667,3,0.954748881153655,-4.525111884634508,0.08136112923407547,0.37109336952269756,2021,0.8453505718547987,2023,1.0268523122824469,27973.20000000001,14419.399999999994,18954.600000000006,0,9018.600000000006,14419.399999999994,-13553.800000000017,returned,FALSE,FALSE,decreased
Cryptosporidiosis,enteric,FALSE,FALSE,high,16.2,3973.6,5,8.5,2140.5,2,0.5246913580246914,-47.53086419753087,8,2047,0.4938271604938272,-50.617283950617285,28.333333333333332,7538.666666666667,3,1.7489711934156378,74.8971193415638,0.08136112923407547,0.5509849875850936,2021,0.4320987654320988,2024,3.2716049382716053,5847.4,10949.8,3666.2,0,2181.2,10949.8,5102.4,overshoot,FALSE,FALSE,decreased
Dengue virus infection,vector_borne,TRUE,FALSE,high,6.2,1510.4,5,0.47000000000000003,119.5,2,0.07580645161290323,-92.41935483870968,2,535,0.3225806451612903,-67.74193548387098,6.666666666666667,1805,3,1.075268817204301,7.526881720430109,0.08136112923407547,0.8793394148910542,2021,0.0064516129032258,2024,1.4516129032258065,4145.6,1272.1999999999998,2781.8,0,1363.8000000000002,1272.1999999999998,-2873.4000000000005,returned,FALSE,FALSE,decreased
Diphtheria,respiratory,FALSE,TRUE,ultra_low,0.028,7.2,5,0.035,8.5,2,1.25,25.00000000000001,0.12,31,4.285714285714286,328.57142857142856,0.056666666666666664,15.333333333333334,3,2.0238095238095237,102.38095238095238,0.51693704426449,0.152883381896907,2024,1.0714285714285714,2022,4.285714285714286,0.20000000000000018,51,0.20000000000000018,2.8,0,48.2,50.8,insufficient_data,FALSE,FALSE,increased
Flavivirus infection (unspecified),vector_borne,FALSE,FALSE,low,0.134,32.6,5,0.035,8.5,2,0.2611940298507463,-73.88059701492537,0.02,4,0.14925373134328357,-85.07462686567165,0.08,20.666666666666668,3,0.5970149253731343,-40.298507462686565,0.4344457265527752,0.4533555045977865,2022,0.14925373134328357,2025,0.8208955223880596,112.60000000000001,0,48.2,0,64.4,0,-112.60000000000001,partial_recovery,FALSE,FALSE,decreased
Gonococcal infection,STI,FALSE,FALSE,high,110.6,27247,5,110,28213.5,2,0.9945750452079567,-0.5424954792043348,128,33172,1.1573236889692586,15.732368896925866,159.33333333333334,42477.666666666664,3,1.4406268836648586,44.06268836648585,1,0.03688842570704989,2021,0.9403254972875228,2024,1.5099457504520797,635,54185,635,2568,0,51617,53550,overshoot,FALSE,TRUE,unchanged
