disease,year,month,period,observed,expected,expected_lo95,expected_hi95,oe_ratio,pct_change,below_pi95,above_pi95,deficit,excess,cum_deficit,cum_excess,cum_net
Influenza (laboratory confirmed),2020,3,covid_acute,5972,5974.067279659972,2972.981771624554,13273.177203583007,0.9996539577538722,-0.03460422461277733,FALSE,FALSE,2.067279659971973,0,2.067279659971973,0,-2.067279659971973
Influenza (laboratory confirmed),2020,4,covid_acute,327,4160.42231493778,1363.237341057451,16832.81899622282,0.0785977901392182,-92.14022098607818,TRUE,FALSE,3833.4223149377804,0,3835.4895945977523,0,-3835.4895945977523
Influenza (laboratory confirmed),2020,5,covid_acute,297,4300.706853875534,1187.8576137141654,23017.597279071106,0.0690584153003504,-93.09415846996497,TRUE,FALSE,4003.706853875534,0,7839.196448473286,0,-7839.196448473286
Influenza (laboratory confirmed),2020,6,covid_acute,193,6500.762983729222,1517.3242175803762,46935.34289109685,0.02968882275558427,-97.03111772444156,TRUE,FALSE,6307.762983729222,0,14146.959432202508,0,-14146.959432202508
Influenza (laboratory confirmed),2020,7,covid_acute,231,9232.357114308636,1902.7945989157136,84606.45582788711,0.02502069592195344,-97.49793040780466,TRUE,FALSE,9001.357114308636,0,23148.316546511145,0,-23148.316546511145
Influenza (laboratory confirmed),2020,8,covid_acute,115,18192.944767908022,3073.336185274649,252774.05709795817,0.00632113170611376,-99.36788682938862,TRUE,FALSE,18077.944767908022,0,41226.261314419164,0,-41226.261314419164
Influenza (laboratory confirmed),2020,9,covid_acute,61,16699.421514877828,2853.8360463403264,226184.12315757293,0.00365282114387339,-99.63471788561266,TRUE,FALSE,16638.421514877828,0,57864.682829296995,0,-57864.682829296995
Influenza (laboratory confirmed),2020,10,covid_acute,41,7618.457970587869,1586.3463704171816,68417.47238658449,0.00538166649449091,-99.4618333505509,TRUE,FALSE,7577.457970587869,0,65442.14079988486,0,-65442.14079988486
Influenza (laboratory confirmed),2020,11,covid_acute,53,5625.670849446642,1256.787380387278,44096.698258408825,0.0094210986419892,-99.05789013580107,TRUE,FALSE,5572.670849446642,0,71014.8116493315,0,-71014.8116493315
Influenza (laboratory confirmed),2020,12,covid_acute,54,4919.694049937608,1132.558984537051,36444.084342764014,0.01097629231652826,-98.90237076834715,TRUE,FALSE,4865.694049937608,0,75880.50569926911,0,-75880.50569926911
Influenza (laboratory confirmed),2021,1,covid_acute,66,6577.14046147705,1412.3216827683611,55619.87547144698,0.01003475604429742,-98.99652439557026,TRUE,FALSE,6511.14046147705,0,82391.64616074617,0,-82391.64616074617
Influenza (laboratory confirmed),2021,2,covid_acute,46,6946.843239485607,1471.4381309015246,60330.12581865796,0.00662171268505638,-99.33782873149435,TRUE,FALSE,6900.843239485607,0,89292.48940023177,0,-89292.48940023177
Influenza (laboratory confirmed),2021,3,covid_acute,50,9132.717548969087,1764.8711372515434,95289.57925057985,0.00547482167623196,-99.4525178323768,TRUE,FALSE,9082.717548969087,0,98375.20694920086,0,-98375.20694920086
Influenza (laboratory confirmed),2021,4,covid_acute,72,9317.646380372918,1712.569017046671,107899.8099337313,0.00772727328992263,-99.22727267100774,TRUE,FALSE,9245.646380372918,0,107620.85332957377,0,-107620.85332957377
Influenza (laboratory confirmed),2021,5,covid_acute,67,13592.43420114793,2203.0350455171983,207199.70061445344,0.00492921275236643,-99.50707872476336,TRUE,FALSE,13525.43420114793,0,121146.2875307217,0,-121146.2875307217
Influenza (laboratory confirmed),2021,6,covid_acute,59,21584.644820694422,3022.4848508749183,465214.0052096982,0.00273342464006789,-99.7266575359932,TRUE,FALSE,21525.644820694422,0,142671.93235141612,0,-142671.93235141612
Influenza (laboratory confirmed),2021,7,covid_acute,72,27350.769681069705,3540.268152204565,719765.1865610974,0.00263246705082063,-99.73675329491792,TRUE,FALSE,27278.769681069705,0,169950.70203248583,0,-169950.70203248583
Influenza (laboratory confirmed),2021,8,covid_acute,43,39654.35135377402,4548.431311965887,1448104.1134089874,0.00108437027796465,-99.89156297220352,TRUE,FALSE,39611.35135377402,0,209562.05338625985,0,-209562.05338625985
Influenza (laboratory confirmed),2021,9,covid_acute,63,25026.8493572648,3310.556357019239,622661.9835348184,0.00251729648828977,-99.74827035117102,TRUE,FALSE,24963.8493572648,0,234525.90274352464,0,-234525.90274352464
Influenza (laboratory confirmed),2021,10,covid_acute,55,8281.902300431933,1499.639764881263,98986.32641088468,0.00664098633439947,-99.33590136656004,TRUE,FALSE,8226.902300431933,0,242752.80504395658,0,-242752.80504395658
Influenza (laboratory confirmed),2021,11,covid_acute,62,4990.525027715885,1028.3893703523388,45747.96219997036,0.01242354254425547,-98.75764574557444,TRUE,FALSE,4928.525027715885,0,247681.33007167248,0,-247681.33007167248
Influenza (laboratory confirmed),2021,12,covid_acute,105,4240.154442862724,909.1262491989224,35961.857082017734,0.02476324893701505,-97.5236751062985,TRUE,FALSE,4135.154442862724,0,251816.4845145352,0,-251816.4845145352
Influenza (laboratory confirmed),2022,1,transition,39,7123.973671119064,1340.8794776182422,78489.16148383686,0.00547447278730238,-99.45255272126975,TRUE,FALSE,7084.973671119064,0,258901.45818565425,0,-258901.45818565425
Influenza (laboratory confirmed),2022,2,transition,33,6998.623206434153,1323.2835339595763,76383.6221266076,0.00471521312501316,-99.52847868749868,TRUE,FALSE,6965.623206434153,0,265867.08139208844,0,-265867.08139208844
Influenza (laboratory confirmed),2022,3,transition,324,7029.257732662004,1243.006771383564,88386.5203972757,0.04609306022377132,-95.39069397762286,TRUE,FALSE,6705.257732662004,0,272572.3391247504,0,-272572.3391247504
Influenza (laboratory confirmed),2022,4,transition,5725,5629.900233160937,932.9130304032504,81647.24529611721,1.0168919097853475,1.6891909785347743,FALSE,FALSE,0,95.0997668390628,272572.3391247504,95.0997668390628,-272477.23935791134
Influenza (laboratory confirmed),2022,5,transition,54194,6567.921043971916,980.7650922979622,121105.1653909474,8.251317218519189,725.1317218519189,FALSE,FALSE,0,47626.07895602808,272572.3391247504,47721.178722867146,-224851.16040188324
Influenza (laboratory confirmed),2022,6,transition,111037,10097.217451194772,1284.0618067296873,278317.07073942554,10.996791991130324,999.6791991130324,FALSE,FALSE,0,100939.78254880523,272572.3391247504,148660.9612716724,-123911.37785307801
Influenza (laboratory confirmed),2022,7,transition,44665,13787.733159889567,1561.6485520096232,521840.1986959975,3.2394737758587246,223.9473775858725,FALSE,FALSE,0,30877.26684011043,272572.3391247504,179538.2281117828,-93034.1110129676
Influenza (laboratory confirmed),2022,8,transition,6573,24380.130070365576,2258.633674573115,1707719.880544223,0.26960479624305134,-73.03952037569486,FALSE,FALSE,17807.130070365576,0,290379.469195116,179538.2281117828,-110841.24108333321
Influenza (laboratory confirmed),2022,9,transition,2710,19503.091991962898,1941.4880526515544,1084643.2088324311,0.13895232618072942,-86.10476738192706,FALSE,FALSE,16793.091991962898,0,307172.5611870789,179538.2281117828,-127634.33307529608
Influenza (laboratory confirmed),2022,10,transition,1528,7870.941497203625,1046.9652611228323,193061.05255710983,0.1941317948485407,-80.58682051514593,FALSE,FALSE,6342.941497203625,0,313515.5026842825,179538.2281117828,-133977.27457249968
Influenza (laboratory confirmed),2022,11,transition,1892,5365.788544997299,798.9507312446997,99620.1949838678,0.3526042787809769,-64.73957212190231,FALSE,FALSE,3473.788544997299,0,316989.2912292798,179538.2281117828,-137451.06311749702
Influenza (laboratory confirmed),2022,12,transition,4648,4638.854281601912,719.8279132677571,78145.36348907427,1.0019715468180066,0.1971546818006553,FALSE,FALSE,0,9.14571839808832,316989.2912292798,179547.3738301809,-137441.91739909892
Influenza (laboratory confirmed),2023,1,post_covid,3653,6785.515552655411,941.9499440523408,149438.45349592363,0.5383526088257882,-46.16473911742119,FALSE,FALSE,3132.515552655411,0,320121.8067819352,179547.3738301809,-140574.4329517543
Influenza (laboratory confirmed),2023,2,post_covid,4287,6967.10266813834,959.3738848212528,156563.84722093787,0.6153203425012133,-38.46796574987867,FALSE,FALSE,2680.10266813834,0,322801.90945007355,179547.3738301809,-143254.53561989265
Influenza (laboratory confirmed),2023,3,post_covid,10725,8229.353579326924,1047.556126047993,226244.8391748065,1.3032615376914205,30.326153769142028,FALSE,FALSE,0,2495.646420673076,322801.90945007355,182043.02025085397,-140758.8891992196
Influenza (laboratory confirmed),2023,4,post_covid,13331,7605.053697182135,939.2768813392642,226565.02481824777,1.7529133298479502,75.291332984795,FALSE,FALSE,0,5725.946302817865,322801.90945007355,187768.96655367184,-135032.9428964017
Influenza (laboratory confirmed),2023,5,post_covid,25052,10102.486224891103,1107.4188368173463,420132.8278426856,2.479785613394394,147.9785613394394,FALSE,FALSE,0,14949.513775108897,322801.90945007355,202718.48032878074,-120083.42912129281
Influenza (laboratory confirmed),2023,6,post_covid,77741,15823.429366080272,1467.9126809629713,1103410.0862707605,4.913031063079706,391.3031063079706,FALSE,FALSE,0,61917.57063391973,322801.90945007355,264636.05096270045,-58165.8584873731
Influenza (laboratory confirmed),2023,7,post_covid,53171,20695.657211248825,1731.5382070852374,2057120.5231661792,2.569186349448215,156.91863494482152,FALSE,FALSE,0,32475.342788751175,322801.90945007355,297111.39375145163,-25690.515698621923
Influenza (laboratory confirmed),2023,8,post_covid,32501,32599.459836454495,2295.2269002103512,6302778.375621615,0.9969797095734576,-0.3020290426542435,FALSE,FALSE,98.4598364544945,0,322900.36928652803,297111.39375145163,-25788.975535076403
Influenza (laboratory confirmed),2023,9,post_covid,24938,22664.41125789312,1822.7180888246733,2601370.3324759128,1.1003153673941155,10.03153673941157,FALSE,FALSE,0,2273.58874210688,322900.36928652803,299384.9824935585,-23515.38679296954
Influenza (laboratory confirmed),2023,10,post_covid,12724,8117.759483270998,928.1804824735306,299108.63998979656,1.56742756744906,56.74275674490601,FALSE,FALSE,0,4606.240516729002,322900.36928652803,303991.2230102875,-18909.146276240528
Influenza (laboratory confirmed),2023,11,post_covid,13099,5133.9046823626195,677.5805697589662,128474.2309747715,2.5514692637362812,155.14692637362813,FALSE,FALSE,0,7965.0953176373805,322900.36928652803,311956.3183279249,-10944.050958603155
Influenza (laboratory confirmed),2023,12,post_covid,17640,4391.5228757651,607.4850291803062,97565.14606649544,4.016829810302815,301.6829810302815,FALSE,FALSE,0,13248.4771242349,322900.36928652803,325204.79545215983,2304.4261656317976
Influenza (laboratory confirmed),2024,1,post_covid,8614,6988.895324259106,837.5519423698381,225940.95098486528,1.232526687028779,23.252668702877894,FALSE,FALSE,0,1625.104675740894,322900.36928652803,326829.9001279007,3929.5308413726743
Influenza (laboratory confirmed),2024,2,post_covid,7972,6986.239732855224,837.2701807228835,225828.13841031343,1.141100263494952,14.110026349495207,FALSE,FALSE,0,985.7602671447758,322900.36928652803,327815.6603950455,4915.291108517442
Influenza (laboratory confirmed),2024,3,post_covid,13784,7473.593583408313,844.5613717756861,284702.55030981655,1.84436039318502,84.43603931850203,FALSE,FALSE,0,6310.406416591687,322900.36928652803,334126.06681163714,11225.697525109106
Influenza (laboratory confirmed),2024,4,post_covid,12443,6322.488417003073,701.0414641384647,254343.7487990427,1.968054218420872,96.80542184208724,FALSE,FALSE,0,6120.511582996927,322900.36928652803,340246.57839463407,17346.209108106035
Influenza (laboratory confirmed),2024,5,post_covid,31202,7745.660907278345,773.5230159816991,426506.8825733161,4.028319903687043,302.83199036870434,FALSE,FALSE,0,23456.339092721653,322900.36928652803,363702.91748735576,40802.54820082773
Influenza (laboratory confirmed),2024,6,post_covid,71692,11991.05208082807,1007.806919775043,1172770.5187229875,5.978791478574675,497.8791478574675,FALSE,FALSE,0,59700.94791917193,322900.36928652803,423403.86540652765,100503.49611999962
Influenza (laboratory confirmed),2024,7,post_covid,96875,16111.990049970636,1202.3803511791184,2460746.0871541332,6.012603017972728,501.26030179727286,FALSE,FALSE,0,80763.00995002936,322900.36928652803,504166.875356557,181266.506070029
Influenza (laboratory confirmed),2024,8,post_covid,83372,27273.61381501019,1652.6061259182873,10325726.396001576,3.056873964905807,205.6873964905807,FALSE,FALSE,0,56098.38618498981,322900.36928652803,560265.2615415468,237364.89225501876
Influenza (laboratory confirmed),2024,9,post_covid,18889,20676.808224898887,1391.726169103816,4840147.610523597,0.9135355802765526,-8.64644197234474,FALSE,FALSE,1787.8082248988867,0,324688.17751142697,560265.2615415468,235577.08403011982
Influenza (laboratory confirmed),2024,10,post_covid,6924,7966.682436551464,758.2816417192895,510890.98954944505,0.8691196185042352,-13.088038149576471,FALSE,FALSE,1042.682436551464,0,325730.8599479784,560265.2615415468,234534.4015935684
Influenza (laboratory confirmed),2024,11,post_covid,7118,5273.39119302949,576.3748568705317,221180.87502570316,1.3497955564929005,34.979555649290035,FALSE,FALSE,0,1844.6088069705102,325730.8599479784,562109.8703485173,236379.01040053891
Influenza (laboratory confirmed),2024,12,post_covid,6037,4539.930662027347,520.8287020296681,165709.25606269806,1.3297559917587205,32.975599175872055,FALSE,FALSE,0,1497.0693379726526,325730.8599479784,563606.93968649,237876.0797385116
Influenza (laboratory confirmed),2025,1,post_covid,1037,6864.445101076778,686.6347918439883,376076.12527680746,0.151068292444692,-84.8931707555308,FALSE,FALSE,5827.445101076778,0,331558.3050490552,563606.93968649,232048.6346374348
Influenza (laboratory confirmed),2025,2,post_covid,0,6974.601555733587,693.8195944257167,388734.2713338141,0,-100,TRUE,FALSE,6974.601555733587,0,338532.9066047888,563606.93968649,225074.0330817012
Influenza (laboratory confirmed),2025,3,post_covid,0,7922.630443596598,735.1057177399485,552127.747401307,0,-100,TRUE,FALSE,7922.630443596598,0,346455.53704838536,563606.93968649,217151.40263810463
Influenza (laboratory confirmed),2025,4,post_covid,0,7068.391412304745,648.2564025439684,511935.4820787019,0,-100,TRUE,FALSE,7068.391412304745,0,353523.92846069013,563606.93968649,210083.01122579986
