disease,year,month,date,time,count,log_count,gam_fitted_log,gam_fitted_count
Influenza (laboratory confirmed),2015,1,2015-01-01,1,1391,7.238496840894365,7.1537406906587915,1277.8809166773194
Influenza (laboratory confirmed),2015,2,2015-02-01,2,1333,7.195937226475569,7.237862831645671,1390.1177388362405
Influenza (laboratory confirmed),2015,3,2015-03-01,3,1731,7.4570320891223805,7.502488110411535,1811.5466247745803
Influenza (laboratory confirmed),2015,4,2015-04-01,4,2068,7.634820677745543,7.689352361868929,2183.959041115138
Influenza (laboratory confirmed),2015,5,2015-05-01,5,2811,7.941651252930556,8.028489832310358,3066.1063292005683
Influenza (laboratory confirmed),2015,6,2015-06-01,6,4296,8.365672383774996,8.432694615286469,4593.864819370733
Influenza (laboratory confirmed),2015,7,2015-07-01,7,14108,9.554568170613157,8.71811671354732,6111.656358308418
Influenza (laboratory confirmed),2015,8,2015-08-01,8,35923,10.48916087479084,8.71777631858553,6109.575994973588
Influenza (laboratory confirmed),2015,9,2015-09-01,9,28426,10.255094676741612,8.357177350504209,4259.651451691651
Influenza (laboratory confirmed),2015,10,2015-10-01,10,6634,8.800113946766308,7.725608973272661,2264.631876702547
Influenza (laboratory confirmed),2015,11,2015-11-01,11,1171,7.066466970136958,7.319696482616124,1508.745666160315
Influenza (laboratory confirmed),2015,12,2015-12-01,12,730,6.594413459749778,7.224802051049942,1372.0667915966815
Influenza (laboratory confirmed),2016,1,2016-01-01,13,1235,7.119635638017636,7.23126217471111,1380.965685895994
Influenza (laboratory confirmed),2016,2,2016-02-01,14,1805,7.498869733976931,7.315384315675776,1502.2494073529713
Influenza (laboratory confirmed),2016,3,2016-03-01,15,2434,7.79770203551669,7.580009594422388,1957.6477573918055
Influenza (laboratory confirmed),2016,4,2016-04-01,16,2849,7.955074273262696,7.766873845864342,2360.078643336564
Influenza (laboratory confirmed),2016,5,2016-05-01,17,1882,7.5406215286571525,8.106011316294666,3313.3318086830186
Influenza (laboratory confirmed),2016,6,2016-06-01,18,2352,7.763446388727362,8.510216099264012,4964.235956232833
Influenza (laboratory confirmed),2016,7,2016-07-01,19,9180,9.1248914101437,8.795638197521958,6604.369761984988
Influenza (laboratory confirmed),2016,8,2016-08-01,20,24316,10.09893097320806,8.79529780256023,6602.121710032139
Influenza (laboratory confirmed),2016,9,2016-09-01,21,29863,10.30440902059442,8.434698834480827,4603.0831703494205
Influenza (laboratory confirmed),2016,10,2016-10-01,22,7973,8.983941527941301,7.803130457251921,2447.2541489328687
Influenza (laboratory confirmed),2016,11,2016-11-01,23,4033,8.302513718514158,7.397217966597785,1630.4393918216217
Influenza (laboratory confirmed),2016,12,2016-12-01,24,3012,8.0106915391303,7.3023235350331195,1482.7434553552712
Influenza (laboratory confirmed),2017,1,2017-01-01,25,2438,7.79934339821592,7.308783658694617,1492.3596490160521
Influenza (laboratory confirmed),2017,2,2017-02-01,26,2712,7.905810312658931,7.392905799658509,1623.4194991650697
Influenza (laboratory confirmed),2017,3,2017-03-01,27,3208,8.073714641109857,7.657531078403548,2115.5254371865562
Influenza (laboratory confirmed),2017,4,2017-04-01,28,1863,7.530479995245536,7.8443953298435805,2550.3944449433293
Influenza (laboratory confirmed),2017,5,2017-05-01,29,2714,7.906547232368036,8.18353280027204,3580.4850086514743
Influenza (laboratory confirmed),2017,6,2017-06-01,30,8451,9.042158378735948,8.587737583239845,5364.461024466333
Influenza (laboratory confirmed),2017,7,2017-07-01,31,28008,10.240281166081672,8.873159681496627,7136.798550255999
Influenza (laboratory confirmed),2017,8,2017-08-01,32,86297,11.365561701831945,8.872819286533968,7134.369293061925
Influenza (laboratory confirmed),2017,9,2017-09-01,33,93622,11.4470313587756,8.512220318453611,4974.197356497495
Influenza (laboratory confirmed),2017,10,2017-10-01,34,15868,9.672122799562842,7.8806519412235305,2644.596771195185
Influenza (laboratory confirmed),2017,11,2017-11-01,35,3634,8.19836438996762,7.474739450567995,1761.9422947283347
Influenza (laboratory confirmed),2017,12,2017-12-01,36,2389,7.779048644925556,7.379845019002154,1602.3412611475658
Influenza (laboratory confirmed),2018,1,2018-01-01,37,3223,8.07837810362652,7.3863051426636375,1612.7325724054745
