disease,net_point,net_ci_lo,net_ci_hi,deficit_point,deficit_ci_lo,deficit_ci_hi,excess_point,excess_ci_lo,excess_ci_hi,ci_excludes_zero,transmission_mode,immunity_debt_signal
Barmah Forest virus infection,12.600000000000136,-735.2399999999997,617.4599999999998,326.9999999999999,35.59000000000002,950.199999999997,339.6,214.96000000000006,653.0499999999998,FALSE,vector_borne,FALSE
Brucellosis,10.199999999999996,-22.259999999999994,45,8.400000000000002,0,31.04999999999995,18.599999999999998,8.790000000000001,45,FALSE,zoonotic,FALSE
Campylobacteriosis,61573.59999999999,31414,89759.20000000001,0,0,605,61573.59999999999,32019,89759.20000000001,TRUE,enteric,FALSE
Chikungunya virus infection,-192.8,-311.6,-33.20000000000002,267,138.8,366,74.2,54.400000000000006,105.6,TRUE,vector_borne,FALSE
Chlamydial infection,-13553.800000000017,-50885.80000000002,26358.199999999983,27973.20000000001,5650.600000000006,55773.000000000015,14419.399999999994,4887.199999999997,32008.79999999999,FALSE,STI,FALSE
Cryptosporidiosis,5102.4,-207.60000000000218,10469.939999999982,5847.4,2909.03,9387.400000000001,10949.8,9179.8,13378.969999999992,FALSE,enteric,FALSE
Dengue virus infection,-2873.4000000000005,-5289,-648.5999999999995,4145.6,2662.3999999999996,5757,1272.1999999999998,468,2013.8000000000002,TRUE,vector_borne,FALSE
Diphtheria,50.8,36.400000000000006,68.8,0.20000000000000018,0,3.1999999999999993,51,39.6,68.8,TRUE,respiratory,FALSE
Flavivirus infection (unspecified),-112.60000000000001,-361,24.199999999999996,112.60000000000001,11.600000000000001,361,0,0,35.8,FALSE,vector_borne,FALSE
Gonococcal infection,53550,26341.200000000004,82665.3599999999,635,0,7136.5999999999985,54185,33477.8,82665.3599999999,TRUE,STI,FALSE
Haemolytic uraemic syndrome (HUS),-16,-28,-4,19,10,29,3,1,6,TRUE,enteric,FALSE
Haemophilus influenzae type b,-35,-47,-25.39999999999999,36,29.599999999999994,47,1,0,4.200000000000003,TRUE,respiratory,FALSE
