effect,term,estimate,std.error,statistic,conf.low,conf.high,effect_type,p.value,group,model_name,aic,bic,n_obs,n_groups
fixed,(Intercept),7.060850661734288e-16,0.15319989561751432,4.608913493885611e-15,-0.30026627784562293,0.3002662778456244,fixed,0.9999999999999963,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,year_centered,0.054518805636673176,0.05822491870361462,0.9363483341933568,-0.05959993802518403,0.16863754929853036,fixed,0.34909386985843105,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,covid,-1.1702377355599813,0.5972414511473785,-1.959404748802687,-2.340809469883281,3.339987633184105e-4,fixed,0.0500654049780659,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeenteric,-1.197521199496292e-15,0.22112500243648614,-5.4155847882478e-15,-0.43339704085684566,0.4333970408568432,fixed,0.9999999999999957,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modevector_borne,-6.199558231806504e-16,0.2726212122852048,-2.2740557052914826e-15,-0.5343277575006505,0.5343277575006492,fixed,0.9999999999999982,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modezoonotic,-8.084050677010318e-16,0.3158296757323057,-2.559623524377831e-15,-0.6190147896842837,0.6190147896842821,fixed,0.999999999999998,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeSTI,-4.570929453154862e-16,0.29067636447083584,-1.572515007016841e-15,-0.5697152055198768,0.5697152055198759,fixed,0.9999999999999988,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,transmission_modeblood_borne,-2.2265216426305027e-16,0.29067636447083584,-7.659795961339314e-16,-0.5697152055198765,0.5697152055198761,fixed,0.9999999999999993,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,time_since_covid,0.1620648134796648,0.10047842991034295,1.6129313886002745,-0.03486929036773945,0.35899891732706907,fixed,0.10675941489737038,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,covid:transmission_modeenteric,-1.3702386452826567,0.8454988497139422,-1.6206274505828717,-3.027385939692027,0.28690864912671343,fixed,0.10509756138721629,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,covid:transmission_modevector_borne,-0.6105406436240858,1.0424009897341546,-0.5857061242620204,-2.653609040951935,1.4325277537037633,fixed,0.55807301783916,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,covid:transmission_modezoonotic,0.6464959990360274,1.2076139043294796,0.5353499133441912,-1.7203837606795505,3.0133757587516055,fixed,0.5924079176957779,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
fixed,covid:transmission_modeSTI,1.9096846530778029,1.1114371015991868,1.7182120790551807,-0.2686920371381878,4.088061343293793,fixed,0.08575793910854947,NA,transmission_mode,1772.1772897095136,1868.8821182485935,495,45
