disease,year,month,date,time,count,log_count,covid,post,fitted,fitted_count,counterfactual,counterfactual_count
Influenza (laboratory confirmed),2015,1,2015-01-01,1,1391,7.238496840894365,0,0,7.646658686638802,2092.638387393236,7.646658686638802,2092.638387393236
Influenza (laboratory confirmed),2015,2,2015-02-01,2,1333,7.195937226475569,0,0,7.8345125576959225,2525.3037818533826,7.8345125576959225,2525.3037818533826
Influenza (laboratory confirmed),2015,3,2015-03-01,3,1731,7.4570320891223805,0,0,7.9915016103229615,2954.731986472204,7.9915016103229615,2954.731986472204
Influenza (laboratory confirmed),2015,4,2015-04-01,4,2068,7.634820677745543,0,0,8.182332683912897,3576.1893880404227,8.182332683912897,3576.1893880404227
Influenza (laboratory confirmed),2015,5,2015-05-01,5,2811,7.941651252930556,0,0,8.527145809238108,5049.011549205156,8.527145809238108,5049.011549205156
Influenza (laboratory confirmed),2015,6,2015-06-01,6,4296,8.365672383774996,0,0,8.995149480636906,8062.874930956789,8.995149480636906,8062.874930956789
Influenza (laboratory confirmed),2015,7,2015-07-01,7,14108,9.554568170613157,0,0,9.348370081522654,11479.096566137774,9.348370081522654,11479.096566137774
Influenza (laboratory confirmed),2015,8,2015-08-01,8,35923,10.48916087479084,0,0,9.31508889279081,11103.31324874942,9.31508889279081,11103.31324874942
Influenza (laboratory confirmed),2015,9,2015-09-01,9,28426,10.255094676741612,0,0,8.836822207760775,6882.084835992293,8.836822207760775,6882.084835992293
Influenza (laboratory confirmed),2015,10,2015-10-01,10,6634,8.800113946766308,0,0,8.148493127717975,3457.164125674441,8.148493127717975,3457.164125674441
Influenza (laboratory confirmed),2015,11,2015-11-01,11,1171,7.066466970136958,0,0,7.605811936618307,2008.843096610389,7.605811936618307,2008.843096610389
Influenza (laboratory confirmed),2015,12,2015-12-01,12,730,6.594413459749778,0,0,7.415790514173334,1661.0225015680178,7.415790514173334,1661.0225015680178
Influenza (laboratory confirmed),2016,1,2016-01-01,13,1235,7.119635638017636,0,0,7.516772536291275,1837.6236167142522,7.516772536291275,1837.6236167142522
Influenza (laboratory confirmed),2016,2,2016-02-01,14,1805,7.498869733976931,0,0,7.704626407348397,2217.5883791008932,7.704626407348397,2217.5883791008932
Influenza (laboratory confirmed),2016,3,2016-03-01,15,2434,7.79770203551669,0,0,7.861615459975434,2594.7102562357622,7.861615459975434,2594.7102562357622
Influenza (laboratory confirmed),2016,4,2016-04-01,16,2849,7.955074273262696,0,0,8.05244653356537,3140.471292231988,8.05244653356537,3140.471292231988
Influenza (laboratory confirmed),2016,5,2016-05-01,17,1882,7.5406215286571525,0,0,8.397259658890581,4433.896950188738,8.397259658890581,4433.896950188738
Influenza (laboratory confirmed),2016,6,2016-06-01,18,2352,7.763446388727362,0,0,8.865263330289379,7080.65793078879,8.865263330289379,7080.65793078879
Influenza (laboratory confirmed),2016,7,2016-07-01,19,9180,9.1248914101437,0,0,9.218483931175127,10080.768081708653,9.218483931175127,10080.768081708653
