disease,year,state,rate_per_100k,count,transmission_mode,subcategory,analysis_suitable,border_sensitive,vaccine_preventable,exclusion_reason,period
Cholera,2025,ACT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,NSW,0.01,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,NT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,QLD,0.02,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,SA,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,TAS,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,VIC,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,WA,0.03,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2025,AUS,0.01,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,ACT,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,NSW,0.04,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,NT,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,QLD,0.02,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,SA,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,TAS,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,VIC,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,WA,0,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2024,AUS,0.02,4,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,ACT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,NSW,0.02,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,NT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,QLD,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,SA,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,TAS,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,VIC,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,WA,0.03,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2023,AUS,0.01,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,post_covid
Cholera,2022,ACT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,NSW,0.02,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,NT,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,QLD,0.02,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,SA,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,TAS,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,VIC,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,WA,0,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2022,AUS,0.01,3,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,transition
Cholera,2021,ACT,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,NSW,0.01,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,NT,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,QLD,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,SA,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,TAS,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,VIC,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,WA,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2021,AUS,0,1,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,ACT,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,NSW,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,NT,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,QLD,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,SA,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,TAS,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,VIC,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,WA,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2020,AUS,0,0,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,covid_acute
Cholera,2019,ACT,0,2,enteric,bacterial_enteric,FALSE,TRUE,FALSE,Insufficient pre-COVID baseline data,baseline
