year,age_group,count
2026,00-04,6329
2026,05-09,2273
2026,10-14,1671
2026,15-19,3256
2026,20-24,5791
2026,25-29,5452
2026,30-34,4656
2026,35-39,3755
2026,40-44,2992
2026,45-49,2431
2026,50-54,2357
2026,55-59,2331
2026,60-64,2211
2026,65-69,1996
2026,70-74,1838
2026,75-79,1912
2026,80-84,1570
2026,85+,2226
2026,No information provided,2
2026,Total,55049
2025,00-04,173441
2025,05-09,102442
2025,10-14,73741
2025,15-19,67875
2025,20-24,73601
2025,25-29,70999
2025,30-34,71927
2025,35-39,72164
2025,40-44,64846
2025,45-49,50652
2025,50-54,47984
2025,55-59,45431
2025,60-64,45393
2025,65-69,42217
2025,70-74,40473
2025,75-79,41554
2025,80-84,34616
2025,85+,50492
2025,No information provided,816
2025,Total,1170664
2024,00-04,182047
2024,05-09,95009
2024,10-14,75968
2024,15-19,63965
2024,20-24,81170
2024,25-29,82154
2024,30-34,81352
2024,35-39,76631
2024,40-44,65961
2024,45-49,53838
2024,50-54,53188
2024,55-59,48178
2024,60-64,48871
2024,65-69,44526
2024,70-74,43231
2024,75-79,44637
2024,80-84,38626
2024,85+,61312
2024,No information provided,445
2024,Total,1241109
2023,00-04,144540
2023,05-09,89098
2023,10-14,74605
2023,15-19,80944
2023,20-24,107502
2023,25-29,112373
2023,30-34,115523
2023,35-39,114850
2023,40-44,103323
2023,45-49,88231
2023,50-54,87637
2023,55-59,79355
2023,60-64,77919
2023,65-69,67933
2023,70-74,61314
2023,75-79,54720
2023,80-84,43565
2023,85+,69025
2023,No information provided,778
2023,Total,1573235
2022,00-04,537293
2022,05-09,657995
2022,10-14,740125
2022,15-19,727117
2022,20-24,872346
2022,25-29,950449
2022,30-34,962052
2022,35-39,946720
2022,40-44,838582
2022,45-49,738236
2022,50-54,678031
2022,55-59,561086
2022,60-64,487894
2022,65-69,363745
2022,70-74,287052
2022,75-79,209510
2022,80-84,136578
2022,85+,166564
2022,No information provided,16973
2022,Total,10878348
2021,00-04,33664
2021,05-09,37027
2021,10-14,34661
2021,15-19,63728
2021,20-24,115475
2021,25-29,104185
2021,30-34,81169
2021,35-39,61410
2021,40-44,47078
2021,45-49,40946
2021,50-54,37695
2021,55-59,31232
2021,60-64,25721
2021,65-69,19567
2021,70-74,14481
2021,75-79,10159
2021,80-84,6902
2021,85+,7434
2021,No information provided,375
2021,Total,772909
2020,00-04,12191
2020,05-09,7641
2020,10-14,6534
2020,15-19,23038
2020,20-24,47335
2020,25-29,41078
2020,30-34,30921
2020,35-39,23425
2020,40-44,16792
2020,45-49,15080
2020,50-54,13149
2020,55-59,12127
2020,60-64,10763
2020,65-69,9157
2020,70-74,7172
2020,75-79,5285
2020,80-84,3899
2020,85+,4849
2020,No information provided,87
2020,Total,290523
2019,00-04,50055
2019,05-09,51894
2019,10-14,32663
2019,15-19,41822
2019,20-24,68387
2019,25-29,62618
2019,30-34,52798
2019,35-39,42113
2019,40-44,29611
2019,45-49,26256
2019,50-54,22965
2019,55-59,23397
2019,60-64,21786
2019,65-69,18181
2019,70-74,15916
2019,75-79,12484
2019,80-84,10949
2019,85+,15789
2019,No information provided,61
2019,Total,599745
2018,00-04,19412
