disease_group,disease,year,count
Bloodborne diseases,Hepatitis B (newly acquired),2026,2
Bloodborne diseases,Hepatitis B (newly acquired),2025,56
Bloodborne diseases,Hepatitis B (newly acquired),2024,79
Bloodborne diseases,Hepatitis B (newly acquired),2023,93
Bloodborne diseases,Hepatitis B (newly acquired),2022,63
Bloodborne diseases,Hepatitis B (newly acquired),2021,82
Bloodborne diseases,Hepatitis B (newly acquired),2020,127
Bloodborne diseases,Hepatitis B (newly acquired),2019,166
Bloodborne diseases,Hepatitis B (newly acquired),2018,139
Bloodborne diseases,Hepatitis B (newly acquired),2017,146
Bloodborne diseases,Hepatitis B (newly acquired),2016,170
Bloodborne diseases,Hepatitis B (newly acquired),2015,148
Bloodborne diseases,Hepatitis B (newly acquired),2014,176
Bloodborne diseases,Hepatitis B (newly acquired),2013,175
Bloodborne diseases,Hepatitis B (newly acquired),2012,193
Bloodborne diseases,Hepatitis B (newly acquired),2011,191
Bloodborne diseases,Hepatitis B (newly acquired),2010,233
Bloodborne diseases,Hepatitis B (newly acquired),2009,244
Bloodborne diseases,Hepatitis B (newly acquired),2008,263
Bloodborne diseases,Hepatitis B (newly acquired),2007,292
Bloodborne diseases,Hepatitis B (newly acquired),2006,296
Bloodborne diseases,Hepatitis B (newly acquired),2005,249
Bloodborne diseases,Hepatitis B (newly acquired),2004,285
Bloodborne diseases,Hepatitis B (newly acquired),2003,342
Bloodborne diseases,Hepatitis B (newly acquired),2002,418
Bloodborne diseases,Hepatitis B (newly acquired),2001,407
Bloodborne diseases,Hepatitis B (newly acquired),2000,405
Bloodborne diseases,Hepatitis B (newly acquired),1999,305
Bloodborne diseases,Hepatitis B (newly acquired),1998,261
Bloodborne diseases,Hepatitis B (newly acquired),1997,282
Bloodborne diseases,Hepatitis B (newly acquired),1996,236
Bloodborne diseases,Hepatitis B (newly acquired),1995,257
Bloodborne diseases,Hepatitis B (newly acquired),1994,265
Bloodborne diseases,Hepatitis B (newly acquired),1993,238
Bloodborne diseases,Hepatitis B (newly acquired),1992,7
Bloodborne diseases,Hepatitis B (newly acquired),1991,10
Bloodborne diseases,Hepatitis B (unspecified),2026,514
Bloodborne diseases,Hepatitis B (unspecified),2025,5509
Bloodborne diseases,Hepatitis B (unspecified),2024,5489
Bloodborne diseases,Hepatitis B (unspecified),2023,5163
Bloodborne diseases,Hepatitis B (unspecified),2022,4831
Bloodborne diseases,Hepatitis B (unspecified),2021,4552
Bloodborne diseases,Hepatitis B (unspecified),2020,4910
Bloodborne diseases,Hepatitis B (unspecified),2019,5602
Bloodborne diseases,Hepatitis B (unspecified),2018,5764
Bloodborne diseases,Hepatitis B (unspecified),2017,5787
Bloodborne diseases,Hepatitis B (unspecified),2016,6096
Bloodborne diseases,Hepatitis B (unspecified),2015,6063
Bloodborne diseases,Hepatitis B (unspecified),2014,6283
Bloodborne diseases,Hepatitis B (unspecified),2013,6759
Bloodborne diseases,Hepatitis B (unspecified),2012,6298
Bloodborne diseases,Hepatitis B (unspecified),2011,6305
Bloodborne diseases,Hepatitis B (unspecified),2010,6661
Bloodborne diseases,Hepatitis B (unspecified),2009,6883
Bloodborne diseases,Hepatitis B (unspecified),2008,6152
Bloodborne diseases,Hepatitis B (unspecified),2007,6602
Bloodborne diseases,Hepatitis B (unspecified),2006,5921
Bloodborne diseases,Hepatitis B (unspecified),2005,6015
Bloodborne diseases,Hepatitis B (unspecified),2004,5607
Bloodborne diseases,Hepatitis B (unspecified),2003,5526
Bloodborne diseases,Hepatitis B (unspecified),2002,6382
Bloodborne diseases,Hepatitis B (unspecified),2001,7505
Bloodborne diseases,Hepatitis B (unspecified),2000,7185
Bloodborne diseases,Hepatitis B (unspecified),1999,6399
Bloodborne diseases,Hepatitis B (unspecified),1998,6132
Bloodborne diseases,Hepatitis B (unspecified),1997,6279
Bloodborne diseases,Hepatitis B (unspecified),1996,7303
Bloodborne diseases,Hepatitis B (unspecified),1995,7037
Bloodborne diseases,Hepatitis B (unspecified),1994,6906
Bloodborne diseases,Hepatitis B (unspecified),1993,7088
Bloodborne diseases,Hepatitis B (unspecified),1992,6332
Bloodborne diseases,Hepatitis B (unspecified),1991,4450
Bloodborne diseases,Hepatitis C (newly acquired),2026,41
Bloodborne diseases,Hepatitis C (newly acquired),2025,882
Bloodborne diseases,Hepatitis C (newly acquired),2024,917
Bloodborne diseases,Hepatitis C (newly acquired),2023,989
Bloodborne diseases,Hepatitis C (newly acquired),2022,566
Bloodborne diseases,Hepatitis C (newly acquired),2021,742
Bloodborne diseases,Hepatitis C (newly acquired),2020,670
Bloodborne diseases,Hepatitis C (newly acquired),2019,794
Bloodborne diseases,Hepatitis C (newly acquired),2018,610
Bloodborne diseases,Hepatitis C (newly acquired),2017,616
Bloodborne diseases,Hepatitis C (newly acquired),2016,737
Bloodborne diseases,Hepatitis C (newly acquired),2015,822
Bloodborne diseases,Hepatitis C (newly acquired),2014,707
Bloodborne diseases,Hepatitis C (newly acquired),2013,668
Bloodborne diseases,Hepatitis C (newly acquired),2012,698
Bloodborne diseases,Hepatitis C (newly acquired),2011,621
Bloodborne diseases,Hepatitis C (newly acquired),2010,385
Bloodborne diseases,Hepatitis C (newly acquired),2009,401
Bloodborne diseases,Hepatitis C (newly acquired),2008,364
Bloodborne diseases,Hepatitis C (newly acquired),2007,368
Bloodborne diseases,Hepatitis C (newly acquired),2006,433
Bloodborne diseases,Hepatitis C (newly acquired),2005,384
Bloodborne diseases,Hepatitis C (newly acquired),2004,441
Bloodborne diseases,Hepatitis C (newly acquired),2003,501
Bloodborne diseases,Hepatitis C (newly acquired),2002,453
Bloodborne diseases,Hepatitis C (newly acquired),2001,630
Bloodborne diseases,Hepatitis C (newly acquired),2000,529
Bloodborne diseases,Hepatitis C (newly acquired),1999,452
Bloodborne diseases,Hepatitis C (newly acquired),1998,371
Bloodborne diseases,Hepatitis C (newly acquired),1997,200
Bloodborne diseases,Hepatitis C (newly acquired),1996,70
Bloodborne diseases,Hepatitis C (newly acquired),1995,79
Bloodborne diseases,Hepatitis C (newly acquired),1994,13
Bloodborne diseases,Hepatitis C (newly acquired),1993,21
Bloodborne diseases,Hepatitis C (newly acquired),1992,0
Bloodborne diseases,Hepatitis C (newly acquired),1991,0
Bloodborne diseases,Hepatitis C (unspecified),2026,629
Bloodborne diseases,Hepatitis C (unspecified),2025,6206
Bloodborne diseases,Hepatitis C (unspecified),2024,6561
Bloodborne diseases,Hepatitis C (unspecified),2023,6700
Bloodborne diseases,Hepatitis C (unspecified),2022,6169
Bloodborne diseases,Hepatitis C (unspecified),2021,6792
Bloodborne diseases,Hepatitis C (unspecified),2020,7367
Bloodborne diseases,Hepatitis C (unspecified),2019,8431
Bloodborne diseases,Hepatitis C (unspecified),2018,10920
Bloodborne diseases,Hepatitis C (unspecified),2017,9650
Bloodborne diseases,Hepatitis C (unspecified),2016,10542
Bloodborne diseases,Hepatitis C (unspecified),2015,9501
Bloodborne diseases,Hepatitis C (unspecified),2014,9623
Bloodborne diseases,Hepatitis C (unspecified),2013,9813
Bloodborne diseases,Hepatitis C (unspecified),2012,9221
Bloodborne diseases,Hepatitis C (unspecified),2011,9372
Bloodborne diseases,Hepatitis C (unspecified),2010,10545
Bloodborne diseases,Hepatitis C (unspecified),2009,10551
Bloodborne diseases,Hepatitis C (unspecified),2008,10250
