disease,year,state,rate_per_100k
Cholera,2025,ACT,0
Cholera,2025,NSW,0.01
Cholera,2025,NT,0
Cholera,2025,QLD,0.02
Cholera,2025,SA,0
Cholera,2025,TAS,0
Cholera,2025,VIC,0
Cholera,2025,WA,0.03
Cholera,2025,AUS,0.01
Cholera,2024,ACT,0
Cholera,2024,NSW,0.04
Cholera,2024,NT,0
Cholera,2024,QLD,0.02
Cholera,2024,SA,0
Cholera,2024,TAS,0
Cholera,2024,VIC,0
Cholera,2024,WA,0
Cholera,2024,AUS,0.02
Cholera,2023,ACT,0
Cholera,2023,NSW,0.02
Cholera,2023,NT,0
Cholera,2023,QLD,0
Cholera,2023,SA,0
Cholera,2023,TAS,0
Cholera,2023,VIC,0
Cholera,2023,WA,0.03
Cholera,2023,AUS,0.01
Cholera,2022,ACT,0
Cholera,2022,NSW,0.02
Cholera,2022,NT,0
Cholera,2022,QLD,0.02
Cholera,2022,SA,0
Cholera,2022,TAS,0
Cholera,2022,VIC,0
Cholera,2022,WA,0
Cholera,2022,AUS,0.01
Cholera,2021,ACT,0
Cholera,2021,NSW,0.01
Cholera,2021,NT,0
Cholera,2021,QLD,0
Cholera,2021,SA,0
Cholera,2021,TAS,0
Cholera,2021,VIC,0
Cholera,2021,WA,0
Cholera,2021,AUS,0
Cholera,2020,ACT,0
Cholera,2020,NSW,0
Cholera,2020,NT,0
Cholera,2020,QLD,0
Cholera,2020,SA,0
Cholera,2020,TAS,0
Cholera,2020,VIC,0
Cholera,2020,WA,0
Cholera,2020,AUS,NA
Cholera,2019,ACT,0
Cholera,2019,NSW,0
Cholera,2019,NT,0.41
Cholera,2019,QLD,0
Cholera,2019,SA,0
Cholera,2019,TAS,0
Cholera,2019,VIC,0.02
Cholera,2019,WA,0
Cholera,2019,AUS,0.01
Cholera,2018,ACT,0
Cholera,2018,NSW,0
Cholera,2018,NT,0
Cholera,2018,QLD,0
Cholera,2018,SA,0
Cholera,2018,TAS,0
Cholera,2018,VIC,0
Cholera,2018,WA,0
Cholera,2018,AUS,NA
Cholera,2017,ACT,0
Cholera,2017,NSW,0.01
Cholera,2017,NT,0
Cholera,2017,QLD,0
Cholera,2017,SA,0
Cholera,2017,TAS,0
Cholera,2017,VIC,0
Cholera,2017,WA,0.04
Cholera,2017,AUS,0.01
Cholera,2016,ACT,0
Cholera,2016,NSW,0
Cholera,2016,NT,0
Cholera,2016,QLD,0
Cholera,2016,SA,0
Cholera,2016,TAS,0
Cholera,2016,VIC,0.02
Cholera,2016,WA,0
Cholera,2016,AUS,0
Cholera,2015,ACT,0
Cholera,2015,NSW,0.01
