disease,year,month,expected,observed,period,oe_ratio,pct_change,expected_lo80,expected_hi80,expected_lo95,expected_hi95,below_pi95,above_pi95,date,month_trajectory,cum_deficit,cum_excess,cum_net,oe_roll3
Influenza (laboratory confirmed),2020,3,5974.067279659972,5972,covid_acute,0.9996539577538722,-0.03460422461277733,3748.404170458064,9936.86877373749,2972.981771624554,13273.177203583007,FALSE,FALSE,2020-03-01,returned,2.067279659971973,0,-2.067279659971973,NA
Influenza (laboratory confirmed),2020,4,4160.42231493778,327,covid_acute,0.0785977901392182,-92.14022098607818,1956.684969862077,9962.052530876746,1363.237341057451,16832.81899622282,TRUE,FALSE,2020-04-01,suppressed,3835.4895945977523,0,-3835.4895945977523,NA
Influenza (laboratory confirmed),2020,5,4300.706853875534,297,covid_acute,0.0690584153003504,-93.09415846996497,1794.3142301252162,12142.195017139931,1187.8576137141654,23017.597279071106,TRUE,FALSE,2020-05-01,suppressed,7839.196448473286,0,-7839.196448473286,0.3824367210644803
Influenza (laboratory confirmed),2020,6,6500.762983729222,193,covid_acute,0.02968882275558427,-97.03111772444156,2407.7070130837924,21808.87712453876,1517.3242175803762,46935.34289109685,TRUE,FALSE,2020-06-01,suppressed,14146.959432202508,0,-14146.959432202508,0.05911500939838429
Influenza (laboratory confirmed),2020,7,9232.357114308636,231,covid_acute,0.02502069592195344,-97.49793040780466,3129.203283077631,35433.909593801756,1902.7945989157136,84606.45582788711,TRUE,FALSE,2020-07-01,suppressed,23148.316546511145,0,-23148.316546511145,0.04125597799262937
Influenza (laboratory confirmed),2020,8,18192.944767908022,115,covid_acute,0.00632113170611376,-99.36788682938862,5344.948081313483,87775.65807617341,3073.336185274649,252774.05709795817,TRUE,FALSE,2020-08-01,suppressed,41226.261314419164,0,-41226.261314419164,0.02034355012788382
Influenza (laboratory confirmed),2020,9,16699.421514877828,61,covid_acute,0.00365282114387339,-99.63471788561266,4947.2918304276545,79466.42484601488,2853.8360463403264,226184.12315757293,TRUE,FALSE,2020-09-01,suppressed,57864.682829296995,0,-57864.682829296995,0.011664882923980194
Influenza (laboratory confirmed),2020,10,7618.457970587869,41,covid_acute,0.00538166649449091,-99.4618333505509,2601.1830154865715,28910.47278291139,1586.3463704171816,68417.47238658449,TRUE,FALSE,2020-10-01,suppressed,65442.14079988486,0,-65442.14079988486,0.005118539781492685
Influenza (laboratory confirmed),2020,11,5625.670849446642,53,covid_acute,0.0094210986419892,-99.05789013580107,2019.6634391411603,19774.72473227543,1256.787380387278,44096.698258408825,TRUE,FALSE,2020-11-01,suppressed,71014.8116493315,0,-71014.8116493315,0.0061518620934511645
Influenza (laboratory confirmed),2020,12,4919.694049937608,54,covid_acute,0.01097629231652826,-98.90237076834715,1804.3416524100703,16747.634994081036,1132.558984537051,36444.084342764014,TRUE,FALSE,2020-12-01,suppressed,75880.50569926911,0,-75880.50569926911,0.008593019151002789
Influenza (laboratory confirmed),2021,1,6577.14046147705,66,covid_acute,0.01003475604429742,-98.99652439557026,2295.5484969919835,24130.835300289666,1412.3216827683611,55619.87547144698,TRUE,FALSE,2021-01-01,suppressed,82391.64616074617,0,-82391.64616074617,0.010144049000938292
Influenza (laboratory confirmed),2021,2,6946.843239485607,46,covid_acute,0.00662171268505638,-99.33782873149435,2401.015790724174,25871.1683048736,1471.4381309015246,60330.12581865796,TRUE,FALSE,2021-02-01,suppressed,89292.48940023177,0,-89292.48940023177,0.009210920348627352
