disease,transmission_mode,border_sensitive,vaccine_preventable,count_tier,covid_oe_rate,covid_pct_change,post_oe_rate,post_pct_change,trajectory,cumulative_deficit_total,cumulative_excess_total,net_cumulative,nadir_year,nadir_oe,recovery_year,years_to_recovery,recovered_by_2024,still_suppressed,trajectory_refined,had_rebound_peak,immunity_debt_signal
Barmah Forest virus infection,vector_borne,FALSE,FALSE,high,1.572327044025157,57.23270440251571,0.6226415094339622,-37.735849056603776,partial_recovery,326.9999999999999,339.6,12.600000000000136,NA,NA,NA,NA,NA,NA,partial_recovery,FALSE,FALSE
Brucellosis,zoonotic,FALSE,FALSE,low,0.855263157894737,-14.473684210526311,1.1842105263157894,18.421052631578945,returned,8.400000000000002,18.6,10.199999999999996,2021,0.7894736842105263,2023,2,TRUE,FALSE,returned,TRUE,FALSE
Campylobacteriosis,enteric,FALSE,FALSE,high,1.0447214076246334,4.472140762463338,1.109481915933529,10.948191593352886,returned,0,61573.59999999999,61573.59999999999,NA,NA,NA,NA,NA,NA,returned,FALSE,FALSE
Chikungunya virus infection,vector_borne,TRUE,FALSE,moderate,0.19021739130434784,-80.9782608695652,0.9420289855072465,-5.797101449275358,returned,267,74.2,-192.8,2021,0.02717391304347826,2025,4,FALSE,FALSE,returned,TRUE,FALSE
Chlamydial infection,STI,FALSE,FALSE,high,0.8664843361511686,-13.35156638488314,0.954748881153655,-4.525111884634508,returned,27973.20000000001,14419.399999999994,-13553.800000000016,2021,0.8453505718547987,2022,1,TRUE,FALSE,returned,FALSE,FALSE
Cryptosporidiosis,enteric,FALSE,FALSE,high,0.5246913580246914,-47.53086419753087,1.7489711934156378,74.8971193415638,overshoot,5847.4,10949.8,5102.4,2021,0.4320987654320988,2024,3,TRUE,FALSE,moderate_overshoot,TRUE,FALSE
Dengue virus infection,vector_borne,TRUE,FALSE,high,0.07580645161290323,-92.41935483870968,1.075268817204301,7.526881720430109,returned,4145.6,1272.1999999999998,-2873.4000000000005,2021,0.0064516129032258,2024,3,TRUE,FALSE,returned,FALSE,FALSE
Diphtheria,respiratory,FALSE,TRUE,ultra_low,1.25,25.00000000000001,2.0238095238095237,102.38095238095238,insufficient_data,0.20000000000000015,51,50.8,NA,NA,NA,NA,NA,NA,insufficient_data,TRUE,FALSE
Flavivirus infection (unspecified),vector_borne,FALSE,FALSE,low,0.2611940298507463,-73.88059701492537,0.5970149253731343,-40.298507462686565,partial_recovery,112.6,0,-112.6,2021,0.14925373134328357,NA,NA,FALSE,TRUE,partial_slow,FALSE,FALSE
Gonococcal infection,STI,FALSE,FALSE,high,0.9945750452079568,-0.5424954792043348,1.4406268836648586,44.06268836648585,overshoot,635,54185,53550,NA,NA,NA,NA,NA,NA,moderate_overshoot,TRUE,FALSE
