disease,year,period,rate_per_100k,count,transmission_mode,border_sensitive,vaccine_preventable,count_tier,baseline_mean_rate,oe_ratio,pct_change,year_trajectory,was_suppressed,nadir_oe,nadir_year,recovery_from_nadir
Cryptosporidiosis,2025,post_covid,18,4868,enteric,FALSE,FALSE,high,16.2,1.1111111111111112,11.111111111111116,returned,TRUE,0.4320987654320988,2021,100
Cryptosporidiosis,2024,post_covid,53,14029,enteric,FALSE,FALSE,high,16.2,3.2716049382716053,227.16049382716048,overshoot,TRUE,0.4320987654320988,2021,100
Cryptosporidiosis,2023,post_covid,14,3719,enteric,FALSE,FALSE,high,16.2,0.8641975308641976,-13.580246913580243,partial_recovery,TRUE,0.4320987654320988,2021,76.08695652173914
Cryptosporidiosis,2022,transition,8,2047,enteric,FALSE,FALSE,high,16.2,0.4938271604938272,-50.617283950617285,sustained_suppression,TRUE,0.4320987654320988,2021,10.869565217391305
Cryptosporidiosis,2021,covid_acute,7,1844,enteric,FALSE,FALSE,high,16.2,0.4320987654320988,-56.79012345679012,sustained_suppression,TRUE,0.4320987654320988,2021,0
Cryptosporidiosis,2020,covid_acute,10,2437,enteric,FALSE,FALSE,high,16.2,0.617283950617284,-38.2716049382716,partial_recovery,TRUE,0.4320987654320988,2021,32.60869565217392
Dengue virus infection,2025,post_covid,7,1912,vector_borne,TRUE,FALSE,high,6.2,1.129032258064516,12.90322580645161,returned,TRUE,0.0064516129032258,2021,100
Dengue virus infection,2024,post_covid,9,2381,vector_borne,TRUE,FALSE,high,6.2,1.4516129032258065,45.16129032258064,overshoot,TRUE,0.0064516129032258,2021,100
Dengue virus infection,2023,post_covid,4,1122,vector_borne,TRUE,FALSE,high,6.2,0.6451612903225806,-35.483870967741936,partial_recovery,TRUE,0.0064516129032258,2021,64.28571428571428
Dengue virus infection,2022,transition,2,535,vector_borne,TRUE,FALSE,high,6.2,0.3225806451612903,-67.74193548387098,sustained_suppression,TRUE,0.0064516129032258,2021,31.818181818181817
