disease,year,month,state,count
Influenza (laboratory confirmed),2008,1,ACT,1
Influenza (laboratory confirmed),2008,2,ACT,10
Influenza (laboratory confirmed),2008,3,ACT,6
Influenza (laboratory confirmed),2008,4,ACT,6
Influenza (laboratory confirmed),2008,5,ACT,13
Influenza (laboratory confirmed),2008,6,ACT,9
Influenza (laboratory confirmed),2008,7,ACT,11
Influenza (laboratory confirmed),2008,8,ACT,73
Influenza (laboratory confirmed),2008,9,ACT,78
Influenza (laboratory confirmed),2008,10,ACT,27
Influenza (laboratory confirmed),2008,11,ACT,7
Influenza (laboratory confirmed),2008,12,ACT,3
Influenza (laboratory confirmed),2009,1,ACT,3
Influenza (laboratory confirmed),2009,2,ACT,8
Influenza (laboratory confirmed),2009,3,ACT,1
Influenza (laboratory confirmed),2009,4,ACT,1
Influenza (laboratory confirmed),2009,5,ACT,28
Influenza (laboratory confirmed),2009,6,ACT,240
Influenza (laboratory confirmed),2009,7,ACT,783
Influenza (laboratory confirmed),2009,8,ACT,175
Influenza (laboratory confirmed),2009,9,ACT,16
Influenza (laboratory confirmed),2009,10,ACT,3
Influenza (laboratory confirmed),2009,11,ACT,4
Influenza (laboratory confirmed),2009,12,ACT,2
Influenza (laboratory confirmed),2010,2,ACT,1
Influenza (laboratory confirmed),2010,3,ACT,2
Influenza (laboratory confirmed),2010,4,ACT,4
Influenza (laboratory confirmed),2010,5,ACT,1
Influenza (laboratory confirmed),2010,6,ACT,5
Influenza (laboratory confirmed),2010,7,ACT,16
Influenza (laboratory confirmed),2010,8,ACT,20
Influenza (laboratory confirmed),2010,9,ACT,27
Influenza (laboratory confirmed),2010,10,ACT,10
Influenza (laboratory confirmed),2010,11,ACT,4
Influenza (laboratory confirmed),2010,12,ACT,5
Influenza (laboratory confirmed),2011,1,ACT,1
Influenza (laboratory confirmed),2011,2,ACT,11
Influenza (laboratory confirmed),2011,3,ACT,3
Influenza (laboratory confirmed),2011,4,ACT,2
Influenza (laboratory confirmed),2011,5,ACT,4
Influenza (laboratory confirmed),2011,6,ACT,27
Influenza (laboratory confirmed),2011,7,ACT,88
Influenza (laboratory confirmed),2011,8,ACT,71
Influenza (laboratory confirmed),2011,9,ACT,29
Influenza (laboratory confirmed),2011,10,ACT,8
Influenza (laboratory confirmed),2011,11,ACT,14
Influenza (laboratory confirmed),2011,12,ACT,12
Influenza (laboratory confirmed),2012,1,ACT,3
Influenza (laboratory confirmed),2012,2,ACT,4
Influenza (laboratory confirmed),2012,3,ACT,4
Influenza (laboratory confirmed),2012,4,ACT,13
Influenza (laboratory confirmed),2012,5,ACT,8
Influenza (laboratory confirmed),2012,6,ACT,101
Influenza (laboratory confirmed),2012,7,ACT,315
Influenza (laboratory confirmed),2012,8,ACT,134
Influenza (laboratory confirmed),2012,9,ACT,43
Influenza (laboratory confirmed),2012,10,ACT,9
Influenza (laboratory confirmed),2012,11,ACT,16
Influenza (laboratory confirmed),2012,12,ACT,16
Influenza (laboratory confirmed),2013,1,ACT,9
Influenza (laboratory confirmed),2013,2,ACT,10
