disease,year,month,count
Influenza (laboratory confirmed),2008,1,98
Influenza (laboratory confirmed),2008,2,161
Influenza (laboratory confirmed),2008,3,157
Influenza (laboratory confirmed),2008,4,163
Influenza (laboratory confirmed),2008,5,284
Influenza (laboratory confirmed),2008,6,264
Influenza (laboratory confirmed),2008,7,507
Influenza (laboratory confirmed),2008,8,2659
Influenza (laboratory confirmed),2008,9,3116
Influenza (laboratory confirmed),2008,10,1241
Influenza (laboratory confirmed),2008,11,330
Influenza (laboratory confirmed),2008,12,172
Influenza (laboratory confirmed),2009,1,203
Influenza (laboratory confirmed),2009,2,123
Influenza (laboratory confirmed),2009,3,145
Influenza (laboratory confirmed),2009,4,171
Influenza (laboratory confirmed),2009,5,2205
Influenza (laboratory confirmed),2009,6,10386
Influenza (laboratory confirmed),2009,7,32241
Influenza (laboratory confirmed),2009,8,10804
Influenza (laboratory confirmed),2009,9,1841
Influenza (laboratory confirmed),2009,10,503
Influenza (laboratory confirmed),2009,11,242
Influenza (laboratory confirmed),2009,12,167
Influenza (laboratory confirmed),2010,1,164
Influenza (laboratory confirmed),2010,2,142
Influenza (laboratory confirmed),2010,3,161
Influenza (laboratory confirmed),2010,4,272
Influenza (laboratory confirmed),2010,5,203
Influenza (laboratory confirmed),2010,6,264
Influenza (laboratory confirmed),2010,7,783
Influenza (laboratory confirmed),2010,8,1990
Influenza (laboratory confirmed),2010,9,4603
Influenza (laboratory confirmed),2010,10,2971
Influenza (laboratory confirmed),2010,11,868
Influenza (laboratory confirmed),2010,12,1026
Influenza (laboratory confirmed),2011,1,829
Influenza (laboratory confirmed),2011,2,823
Influenza (laboratory confirmed),2011,3,872
Influenza (laboratory confirmed),2011,4,768
Influenza (laboratory confirmed),2011,5,750
Influenza (laboratory confirmed),2011,6,1995
Influenza (laboratory confirmed),2011,7,6104
Influenza (laboratory confirmed),2011,8,7060
Influenza (laboratory confirmed),2011,9,5051
Influenza (laboratory confirmed),2011,10,1666
Influenza (laboratory confirmed),2011,11,743
Influenza (laboratory confirmed),2011,12,554
Influenza (laboratory confirmed),2012,1,292
Influenza (laboratory confirmed),2012,2,301
Influenza (laboratory confirmed),2012,3,676
Influenza (laboratory confirmed),2012,4,516
Influenza (laboratory confirmed),2012,5,827
Influenza (laboratory confirmed),2012,6,5715
Influenza (laboratory confirmed),2012,7,12452
Influenza (laboratory confirmed),2012,8,15973
Influenza (laboratory confirmed),2012,9,4643
Influenza (laboratory confirmed),2012,10,1314
Influenza (laboratory confirmed),2012,11,1187
Influenza (laboratory confirmed),2012,12,612
Influenza (laboratory confirmed),2013,1,646
Influenza (laboratory confirmed),2013,2,685
Influenza (laboratory confirmed),2013,3,1000
Influenza (laboratory confirmed),2013,4,585
Influenza (laboratory confirmed),2013,5,850
Influenza (laboratory confirmed),2013,6,1026
Influenza (laboratory confirmed),2013,7,2352
Influenza (laboratory confirmed),2013,8,8071
Influenza (laboratory confirmed),2013,9,6309
Influenza (laboratory confirmed),2013,10,2834
Influenza (laboratory confirmed),2013,11,2438
Influenza (laboratory confirmed),2013,12,1400
Influenza (laboratory confirmed),2014,1,1565
Influenza (laboratory confirmed),2014,2,1151
Influenza (laboratory confirmed),2014,3,1145
Influenza (laboratory confirmed),2014,4,1013
Influenza (laboratory confirmed),2014,5,1436
Influenza (laboratory confirmed),2014,6,1926
Influenza (laboratory confirmed),2014,7,7016
Influenza (laboratory confirmed),2014,8,29102
Influenza (laboratory confirmed),2014,9,16220
Influenza (laboratory confirmed),2014,10,4802
Influenza (laboratory confirmed),2014,11,1274
Influenza (laboratory confirmed),2014,12,1014
Influenza (laboratory confirmed),2015,1,1391
Influenza (laboratory confirmed),2015,2,1333
Influenza (laboratory confirmed),2015,3,1731
Influenza (laboratory confirmed),2015,4,2068
Influenza (laboratory confirmed),2015,5,2811
Influenza (laboratory confirmed),2015,6,4296
Influenza (laboratory confirmed),2015,7,14108
Influenza (laboratory confirmed),2015,8,35923
Influenza (laboratory confirmed),2015,9,28426
Influenza (laboratory confirmed),2015,10,6634
Influenza (laboratory confirmed),2015,11,1171
Influenza (laboratory confirmed),2015,12,730
Influenza (laboratory confirmed),2016,1,1235
Influenza (laboratory confirmed),2016,2,1805
Influenza (laboratory confirmed),2016,3,2434
Influenza (laboratory confirmed),2016,4,2849
Influenza (laboratory confirmed),2016,5,1882
Influenza (laboratory confirmed),2016,6,2352
Influenza (laboratory confirmed),2016,7,9180
Influenza (laboratory confirmed),2016,8,24316
Influenza (laboratory confirmed),2016,9,29863
Influenza (laboratory confirmed),2016,10,7973
Influenza (laboratory confirmed),2016,11,4033
Influenza (laboratory confirmed),2016,12,3012
Influenza (laboratory confirmed),2017,1,2438
Influenza (laboratory confirmed),2017,2,2712
Influenza (laboratory confirmed),2017,3,3208
Influenza (laboratory confirmed),2017,4,1863
Influenza (laboratory confirmed),2017,5,2714
Influenza (laboratory confirmed),2017,6,8451
Influenza (laboratory confirmed),2017,7,28008
Influenza (laboratory confirmed),2017,8,86297
