disease,cluster,silhouette,transmission_mode,border_sensitive,vaccine_preventable,covid_oe_rate,post_oe_rate,trajectory_refined,immunity_debt_signal,recovery_year,still_suppressed
Cryptosporidiosis,2,0.1268275934731825,enteric,FALSE,FALSE,0.5246913580246914,1.7489711934156378,moderate_overshoot,FALSE,2024,FALSE
Dengue virus infection,1,0.08841741972447492,vector_borne,TRUE,FALSE,0.07580645161290323,1.075268817204301,returned,FALSE,2024,FALSE
Diphtheria,2,0.24364336457439784,respiratory,FALSE,TRUE,1.25,2.0238095238095237,insufficient_data,FALSE,NA,NA
Flavivirus infection (unspecified),1,0.21894259782042258,vector_borne,FALSE,FALSE,0.2611940298507463,0.5970149253731343,partial_slow,FALSE,NA,TRUE
Gonococcal infection,2,0.40864838536773074,STI,FALSE,FALSE,0.9945750452079568,1.4406268836648586,moderate_overshoot,FALSE,NA,NA
Haemolytic uraemic syndrome (HUS),1,0.2674280321143687,enteric,FALSE,FALSE,0.5882352941176471,0.8333333333333334,partial_nearing,FALSE,2023,FALSE
Haemophilus influenzae type b,1,0.3224888542286146,respiratory,FALSE,TRUE,0.945945945945946,0.4504504504504504,sustained_suppression,FALSE,NA,NA
Hepatitis A,2,-0.048513145025386506,enteric,TRUE,TRUE,0.20712909441233143,0.8509955041746949,partial_nearing,FALSE,NA,TRUE
Hepatitis B (newly acquired),1,0.4510306394023239,blood_borne,FALSE,TRUE,0.6549520766773164,0.45793397231096905,sustained_suppression,FALSE,NA,TRUE
Hepatitis B (unspecified),1,0.41909515301665046,blood_borne,FALSE,FALSE,0.7773109243697479,0.8543417366946778,partial_nearing,FALSE,NA,TRUE
Hepatitis C (newly acquired),2,0.01725099734341673,blood_borne,FALSE,FALSE,1.0714285714285714,1.190476190476191,returned,FALSE,NA,NA
Hepatitis C (unspecified),1,0.44170161898121796,blood_borne,FALSE,FALSE,0.6875,0.6083333333333333,partial_slow,FALSE,NA,TRUE
Hepatitis D,2,0.340685257893099,blood_borne,FALSE,FALSE,1.148148148148148,1.5802469135802468,moderate_overshoot,FALSE,NA,NA
Hepatitis E,1,0.38555629453488804,enteric,TRUE,FALSE,0.3932584269662921,0.5617977528089888,partial_slow,FALSE,NA,TRUE
Influenza (laboratory confirmed),2,0.2966594784843558,respiratory,FALSE,TRUE,0.0652701882210079,2.1994535519125686,major_overshoot,TRUE,2022,FALSE
Legionellosis,2,0.3739771419355915,respiratory,FALSE,FALSE,1,1.5,moderate_overshoot,FALSE,NA,NA
Leprosy,1,0.10388784662700801,zoonotic,TRUE,FALSE,0.7000000000000001,1,returned,FALSE,2021,FALSE
Leptospirosis,2,0.11185605943556964,zoonotic,FALSE,FALSE,1.4224137931034484,1.091954022988506,returned,FALSE,2021,FALSE
Listeriosis,1,0.11175395875083616,enteric,FALSE,FALSE,0.5944055944055945,0.9324009324009324,returned,FALSE,2022,FALSE
Malaria,2,0.14769621316838777,vector_borne,TRUE,FALSE,0.3008595988538682,1.1938872970391596,returned,FALSE,2024,FALSE
Meningococcal disease (invasive),1,0.29925893891952426,respiratory,FALSE,TRUE,0.28725314183123873,0.44584081388390184,sustained_suppression,FALSE,NA,TRUE
Mumps,1,0.4129964299962653,respiratory,FALSE,TRUE,0.13396375098502758,0.24166009981612815,sustained_suppression,FALSE,NA,TRUE
Barmah Forest virus infection,1,0.16299168719440849,vector_borne,FALSE,FALSE,1.572327044025157,0.6226415094339622,partial_recovery,FALSE,NA,NA
Ornithosis,2,0.137444697975879,respiratory,FALSE,FALSE,2.5641025641025643,1.6239316239316242,moderate_overshoot,FALSE,NA,NA
Paratyphoid,2,0.03981163454822356,enteric,TRUE,FALSE,0.24999999999999997,1.2058823529411764,moderate_overshoot,TRUE,2023,FALSE
Pertussis,2,0.0678124201213659,respiratory,FALSE,TRUE,0.1153846153846154,1.635897435897436,moderate_overshoot,TRUE,2024,FALSE
Pneumococcal disease (invasive),2,0.24728357360140052,respiratory,FALSE,TRUE,0.6081081081081081,1.2612612612612613,moderate_overshoot,FALSE,2022,FALSE
Q fever,2,0.11681358522002228,zoonotic,FALSE,FALSE,0.9090909090909092,1.212121212121212,moderate_overshoot,FALSE,NA,NA
Ross River virus infection,1,0.29114703818901067,vector_borne,FALSE,FALSE,0.8644859813084113,0.4049844236760125,sustained_suppression,FALSE,NA,TRUE
Rotavirus,2,0.314522682815795,enteric,FALSE,TRUE,0.4473684210526316,1.8596491228070176,moderate_overshoot,TRUE,2022,FALSE
Rubella,1,0.40360096410610147,respiratory,FALSE,TRUE,0.24999999999999997,0.2222222222222222,sustained_suppression,FALSE,NA,TRUE
Salmonellosis,1,0.47291822645767234,enteric,FALSE,FALSE,0.6804281345565749,0.6778797145769623,partial_slow,FALSE,NA,TRUE
Shigellosis,2,0.23465596263361677,enteric,TRUE,FALSE,0.5128205128205129,1.4102564102564104,moderate_overshoot,FALSE,2023,FALSE
STEC,2,0.4167469236845869,enteric,FALSE,FALSE,1.1655011655011656,2.1367521367521367,major_overshoot,FALSE,NA,NA
Syphilis < 2 years,2,0.3505394612349336,STI,FALSE,FALSE,1.2356321839080462,1.3409961685823757,moderate_overshoot,FALSE,NA,NA
Syphilis > 2 years or unspecified duration,2,0.4120091250145672,STI,FALSE,FALSE,1.0465116279069768,1.2403100775193798,moderate_overshoot,FALSE,NA,NA
Syphilis congenital,2,0.26137662752368274,STI,FALSE,FALSE,2.954545454545455,2.575757575757576,insufficient_data,FALSE,NA,NA
Tetanus,1,0.1661440266622637,zoonotic,FALSE,FALSE,1.25,0.8333333333333334,insufficient_data,FALSE,NA,NA
Tuberculosis,2,-0.04628267257294583,respiratory,FALSE,FALSE,1.0344827586206895,0.9770114942528736,returned,FALSE,NA,NA
Brucellosis,2,0.017707045401606836,zoonotic,FALSE,FALSE,0.855263157894737,1.1842105263157894,returned,FALSE,2023,FALSE
Typhoid Fever,2,0.270110610947054,enteric,TRUE,FALSE,0.33222591362126247,1.528239202657807,moderate_overshoot,TRUE,2022,FALSE
Varicella zoster (chickenpox),1,0.27079930358676463,respiratory,FALSE,TRUE,0.6944444444444444,0.632716049382716,partial_slow,FALSE,NA,TRUE
