disease,year,expected_rate_trend,expected_lower_trend,expected_upper_trend,rate_per_100k,count,period,oe_ratio_trend,pct_change_trend
Chlamydial infection,2020,447.20000000003347,402.74132762794375,491.6586723721232,357,91486,covid_acute,0.79830053667257,-20.169946332743006
Chlamydial infection,2021,462.2000000000371,410.8635470763561,513.5364529237181,340,87389,covid_acute,0.7356122890522993,-26.438771094770075
Chlamydial infection,2022,477.2000000000444,418.18699848008225,536.2130015200065,363,94377,transition,0.7606873428331229,-23.93126571668771
Chlamydial infection,2023,492.20000000005166,424.98480530481913,559.4151946952842,413,110024,post_covid,0.8390898008938574,-16.09101991061425
Chlamydial infection,2024,507.20000000005894,431.42747498370346,582.9725250164144,384,102225,post_covid,0.7570977917980193,-24.290220820198073
Chlamydial infection,2025,522.2000000000626,437.62273475281285,606.7772652473122,355,94434,post_covid,0.6798161623898075,-32.01838376101925
Gonococcal infection,2020,153.5000000000291,134.99523090469557,172.00476909536263,116,29815,covid_acute,0.7557003257327557,-24.429967426724424
Gonococcal infection,2021,167.80000000003565,146.43253316306934,189.16746683700197,104,26612,covid_acute,0.6197854588794869,-38.02145411205131
Gonococcal infection,2022,182.10000000003856,157.53736894326826,206.66263105680886,128,33172,transition,0.7029104887423003,-29.708951125769968
Gonococcal infection,2023,196.4000000000451,168.42341880294214,224.37658119714808,151,40317,post_covid,0.7688391038694772,-23.11608961305228
Gonococcal infection,2024,210.70000000005166,179.16165203808492,242.2383479620184,167,44534,post_covid,0.7925961082105318,-20.740389178946817
Gonococcal infection,2025,225.00000000005457,189.79690731621497,260.20309268389417,160,42582,post_covid,0.7111111111109386,-28.888888888906134
Hepatitis B (unspecified),2020,21.399999999998272,19.716007703077302,23.08399229691924,19,4910,covid_acute,0.8878504672897913,-11.214953271020867
Hepatitis B (unspecified),2021,20.59999999999809,18.655493188116846,22.544506811879334,18,4552,covid_acute,0.8737864077670713,-12.621359223292869
Hepatitis B (unspecified),2022,19.799999999997908,17.564723176028036,22.03527682396778,19,4831,transition,0.9595959595960609,-4.040404040393902
Hepatitis B (unspecified),2023,18.999999999997726,16.454042955768188,21.545957044227265,19,5163,post_covid,1.0000000000001197,1.1967035549645226e-11
Hepatitis B (unspecified),2024,18.199999999997317,15.329910956899862,21.07008904309477,21,5489,post_covid,1.153846153846324,15.384615384632394
Hepatitis B (unspecified),2025,17.399999999997135,14.196407639456394,20.603592360537874,21,5509,post_covid,1.2068965517243366,20.689655172433667
Pertussis,2020,26.29999999996653,0,74.95397352027732,13,3458,covid_acute,0.4942965779473971,-50.57034220526029
Pertussis,2021,13.399999999961437,0,69.58076941815665,2,550,covid_acute,0.14925373134371311,-85.07462686562869
Pertussis,2022,0.49999999995634425,0,65.08170836218788,2,484,transition,4.000000000349246,300.0000000349246
Pertussis,2023,0,0,61.15789384559386,9,2454,post_covid,Inf,Inf
Pertussis,2024,0,0,57.622728660355776,215,57257,post_covid,Inf,Inf
Pertussis,2025,0,0,54.35831999024556,95,25260,post_covid,Inf,Inf
Pneumococcal disease (invasive),2020,8.900000000001342,6.6722875863031295,11.127712413699554,4,1099,covid_acute,0.4494382022471233,-55.056179775287674
Pneumococcal disease (invasive),2021,9.400000000001569,6.827659276549985,11.972340723453152,5,1332,covid_acute,0.5319148936169324,-46.80851063830675
Pneumococcal disease (invasive),2022,9.900000000001796,6.943006706199759,12.856993293803834,7,1859,transition,0.7070707070705787,-29.292929292942123
Pneumococcal disease (invasive),2023,10.400000000002024,7.0320154061635165,13.76798459384053,9,2269,post_covid,0.865384615384447,-13.4615384615553
Pneumococcal disease (invasive),2024,10.900000000002137,7.103229075682714,14.69677092432156,9,2375,post_covid,0.8256880733943335,-17.431192660566648
Pneumococcal disease (invasive),2025,11.400000000002365,7.162045655998445,15.637954344006285,10,2641,post_covid,0.8771929824559584,-12.280701754404161
STEC,2020,3.4680000000012114,2.269640980173156,4.666359019829267,2,575,covid_acute,0.5767012687425898,-42.329873125741024
STEC,2021,4.0520000000012715,2.6682541946341223,5.435745805368421,2,624,covid_acute,0.4935834155970811,-50.64165844029189
STEC,2022,4.636000000001559,3.0453370565221842,6.2266629434809335,3,844,transition,0.6471095772215253,-35.28904227784747
STEC,2023,5.220000000001619,3.4082514583808123,7.0317485416224255,3,926,post_covid,0.5747126436779827,-42.52873563220173
STEC,2024,5.804000000001679,3.761593334131452,7.846406665871906,4,1015,post_covid,0.6891798759474229,-31.082012405257704
STEC,2025,6.388000000001966,4.108266412071895,8.667733587932037,4,971,post_covid,0.6261740763930446,-37.38259236069554
Salmonellosis,2020,52.499999999990905,33.99523090464119,71.00476909534062,47,12011,covid_acute,0.8952380952382504,-10.476190476174969
Salmonellosis,2021,48.199999999987995,26.832533163002996,69.567466836973,42,10665,covid_acute,0.8713692946060262,-12.863070539397384
Salmonellosis,2022,43.8999999999869,19.337368943195134,68.46263105677868,40,10301,transition,0.9111617312075612,-8.883826879243887
Salmonellosis,2023,39.59999999998581,11.623418802858396,67.57658119711323,43,11325,post_covid,1.0858585858589749,8.58585858589749
Salmonellosis,2024,35.2999999999829,3.7616520379886182,66.83834796197718,46,12219,post_covid,1.303116147309413,30.311614730941304
Salmonellosis,2025,30.99999999998181,0,66.20309268385219,44,11818,post_covid,1.4193548387105102,41.93548387105103
Shigellosis,2020,13.80000000000382,11.418475254765974,16.181524745241667,6,1598,covid_acute,0.4347826086955318,-56.52173913044681
Shigellosis,2021,15.80000000000473,13.050052094514957,18.549947905494502,2,468,covid_acute,0.12658227848097478,-87.34177215190252
Shigellosis,2022,17.800000000005184,14.638841199888217,20.96115880012215,5,1406,transition,0.2808988764044126,-71.91011235955874
Shigellosis,2023,19.80000000000564,16.199473018836322,23.400526981174956,11,2915,post_covid,0.5555555555553974,-44.44444444446027
Shigellosis,2024,21.80000000000655,17.74108115003905,25.858918849974046,11,2967,post_covid,0.5045871559631512,-49.541284403684884
Shigellosis,2025,23.800000000007003,19.269436235414712,28.330563764599294,11,2876,post_covid,0.46218487394944385,-53.78151260505562
Syphilis < 2 years,2020,25.80000000000655,23.41847525477062,28.181524745242477,21,5362,covid_acute,0.8139534883718864,-18.604651162811354
Syphilis < 2 years,2021,28.60000000000764,25.85005209452008,31.3499479054952,22,5765,covid_acute,0.7692307692305638,-23.076923076943626
Syphilis < 2 years,2022,31.40000000000782,28.238841199893397,34.56115880012224,24,6184,transition,0.7643312101908925,-23.56687898091076
Syphilis < 2 years,2023,34.20000000000891,30.59947301884249,37.80052698117534,25,6567,post_covid,0.7309941520465931,-26.900584795340688
Syphilis < 2 years,2024,37.000000000010004,32.94108115004577,41.05891884997424,22,5976,post_covid,0.5945945945944339,-40.54054054055662
Syphilis < 2 years,2025,39.800000000011096,35.26943623542245,44.330563764599745,23,6023,post_covid,0.5778894472360198,-42.21105527639802
Syphilis > 2 years or unspecified duration,2020,10.100000000000932,7.872287586300671,12.327712413701192,9,2210,covid_acute,0.8910891089108088,-10.891089108919116
Syphilis > 2 years or unspecified duration,2021,10.600000000001046,8.027659276547098,13.172340723454994,9,2219,covid_acute,0.8490566037735011,-15.094339622649889
Syphilis > 2 years or unspecified duration,2022,11.10000000000116,8.143006706196404,14.056993293805915,10,2614,transition,0.9009009009008068,-9.909909909919321
Syphilis > 2 years or unspecified duration,2023,11.600000000001273,8.232015406159668,14.967984593842878,10,2784,post_covid,0.8620689655171467,-13.793103448285324
Syphilis > 2 years or unspecified duration,2024,12.100000000001387,8.303229075678473,15.8967709243243,11,2939,post_covid,0.9090909090908049,-9.090909090919512
Syphilis > 2 years or unspecified duration,2025,12.600000000001387,8.36204565599357,16.837954344009205,11,2922,post_covid,0.8730158730157769,-12.69841269842231
Typhoid Fever,2020,0.8780000000002133,0.6007798807448691,1.1552201192555573,0.34,87,covid_acute,0.3872437357630039,-61.275626423699606
Typhoid Fever,2021,0.9700000000002262,0.6498937790465058,1.2901062209539467,0.06,15,covid_acute,0.06185567010307835,-93.81443298969215
Typhoid Fever,2022,1.0620000000002676,0.6940269939226065,1.4299730060779288,0.69,179,transition,0.64971751412413,-35.028248587586994
Typhoid Fever,2023,1.1540000000002806,0.7348825748726415,1.5731174251279196,1,289,post_covid,0.8665511265162538,-13.34488734837462
Typhoid Fever,2024,1.246000000000322,0.7735237135851756,1.7184762864154683,0.9,241,post_covid,0.7223113964685132,-27.76886035314868
Typhoid Fever,2025,1.338000000000335,0.8106221385585544,1.8653778614421155,0.86,229,post_covid,0.6427503736919168,-35.724962630808314
Varicella zoster (chickenpox),2020,30.000000000007276,21.249719346552062,38.75028065346249,17,2948,covid_acute,0.5666666666665292,-43.33333333334708
Varicella zoster (chickenpox),2021,32.80000000000837,22.696046218493635,42.9039537815231,13,2289,covid_acute,0.396341463414533,-60.3658536585467
Varicella zoster (chickenpox),2022,35.60000000000946,23.985160915731694,47.21483908428722,10,1840,transition,0.28089887640441974,-71.91011235955801
Varicella zoster (chickenpox),2023,38.40000000001055,25.17081913654534,51.62918086347576,14,2641,post_covid,0.3645833333332332,-63.54166666667669
Varicella zoster (chickenpox),2024,41.20000000001164,26.286579865354092,56.11342013466919,13,2439,post_covid,0.3155339805824351,-68.44660194175648
Varicella zoster (chickenpox),2025,44.00000000001273,27.353645794443526,60.64635420558194,14,2485,post_covid,0.3181818181817261,-68.1818181818274
Varicella zoster (shingles),2020,102.10000000003129,74.8032172731948,129.39678272686777,93,16342,covid_acute,0.9108716944169589,-8.912830558304112
Varicella zoster (shingles),2021,115.00000000003638,83.48039028933542,146.51960971073734,72,12733,covid_acute,0.6260869565215411,-37.391304347845896
Varicella zoster (shingles),2022,127.90000000003783,91.66713485582025,164.13286514425542,59,10594,transition,0.46129788897562585,-53.870211102437416
Varicella zoster (shingles),2023,140.80000000004293,99.53114360725506,182.0688563928308,74,13452,post_covid,0.5255681818180216,-47.44318181819784
Varicella zoster (shingles),2024,153.70000000004802,107.17710487793221,200.22289512216383,56,10260,post_covid,0.3643461288222674,-63.565387117773255
Varicella zoster (shingles),2025,166.60000000005311,114.67116115030052,218.5288388498057,54,9948,post_covid,0.32412965186064097,-67.58703481393592
